,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,lr,hidden_layers,epochs,drop_out_1,drop_out_2,first_neuron,activation_function_one,activation_function_two,batch_size
0,08/06/23-214544,08/06/23-214550,5.43597674369812,20,0.6610442996025085,0.6744791865348816,0.6461158394813538,0.6666666865348816,0.5,0,20,0.0,0.0,12,relu,relu,20
1,08/06/23-214550,08/06/23-214554,3.77341628074646,20,0.6441410183906555,0.6979166865348816,0.6048885583877563,0.709956705570221,0.5,0,20,0.0,0.0,12,relu,elu,20
2,08/06/23-214554,08/06/23-214558,3.8600828647613525,20,0.7904811501502991,0.65625,0.7934019565582275,0.6363636255264282,0.5,0,20,0.0,0.0,12,elu,relu,20
3,08/06/23-214558,08/06/23-214602,3.79443097114563,20,0.7418422698974609,0.6653645634651184,0.7658626437187195,0.6969696879386902,0.5,0,20,0.0,0.0,12,elu,elu,20
4,08/06/23-214602,08/06/23-214606,3.7729856967926025,20,0.6865260601043701,0.6796875,0.6507290005683899,0.6796537041664124,0.5,0,20,0.0,0.0,24,relu,relu,20
5,08/06/23-214606,08/06/23-214610,3.7508301734924316,20,0.6937342286109924,0.6796875,0.6095945835113525,0.6796537041664124,0.5,0,20,0.0,0.0,24,relu,elu,20
6,08/06/23-214610,08/06/23-214614,3.9457578659057617,20,0.6582992076873779,0.68359375,0.6292668581008911,0.6969696879386902,0.5,0,20,0.0,0.0,24,elu,relu,20
7,08/06/23-214614,08/06/23-214618,3.7704808712005615,20,0.6489741206169128,0.69921875,0.6136585474014282,0.6883116960525513,0.5,0,20,0.0,0.0,24,elu,elu,20
8,08/06/23-214618,08/06/23-214622,3.719674825668335,20,0.6201308965682983,0.6796875,0.5665146708488464,0.7662337422370911,0.5,0,20,0.0,0.0,36,relu,relu,20
9,08/06/23-214622,08/06/23-214626,3.754619598388672,20,0.6244809627532959,0.69140625,0.5915804505348206,0.7056276798248291,0.5,0,20,0.0,0.0,36,relu,elu,20
10,08/06/23-214626,08/06/23-214630,3.836723804473877,20,0.5731602311134338,0.7252604365348816,0.5762791037559509,0.7229437232017517,0.5,0,20,0.0,0.0,36,elu,relu,20
11,08/06/23-214630,08/06/23-214633,3.7405059337615967,20,0.6192425489425659,0.7005208134651184,0.6019785404205322,0.7229437232017517,0.5,0,20,0.0,0.0,36,elu,elu,20
12,08/06/23-214634,08/06/23-214637,3.759380578994751,20,0.8331260681152344,0.6640625,0.7122934460639954,0.6839826703071594,0.5,0,20,0.0,0.2,12,relu,relu,20
13,08/06/23-214638,08/06/23-214641,3.7535080909729004,20,0.8202385306358337,0.5911458134651184,0.7416016459465027,0.6623376607894897,0.5,0,20,0.0,0.2,12,relu,elu,20
14,08/06/23-214641,08/06/23-214645,3.6953794956207275,20,0.8261182308197021,0.7057291865348816,0.8185735940933228,0.6839826703071594,0.5,0,20,0.0,0.2,12,elu,relu,20
15,08/06/23-214645,08/06/23-214649,3.7261152267456055,20,0.7269590497016907,0.6484375,0.6523191332817078,0.6666666865348816,0.5,0,20,0.0,0.2,12,elu,elu,20
16,08/06/23-214649,08/06/23-214653,3.852504014968872,20,0.6740115284919739,0.6627604365348816,0.5652971863746643,0.701298713684082,0.5,0,20,0.0,0.2,24,relu,relu,20
17,08/06/23-214653,08/06/23-214657,3.749213457107544,20,0.6278179883956909,0.7096354365348816,0.854104220867157,0.6536796689033508,0.5,0,20,0.0,0.2,24,relu,elu,20
18,08/06/23-214657,08/06/23-214701,3.727076768875122,20,0.606293797492981,0.6809895634651184,0.5895454287528992,0.6536796689033508,0.5,0,20,0.0,0.2,24,elu,relu,20
19,08/06/23-214701,08/06/23-214705,3.712947368621826,20,0.7347021698951721,0.6627604365348816,0.7643896341323853,0.6536796689033508,0.5,0,20,0.0,0.2,24,elu,elu,20
20,08/06/23-214705,08/06/23-214709,3.7492125034332275,20,0.628662645816803,0.6705729365348816,0.5624538660049438,0.7229437232017517,0.5,0,20,0.0,0.2,36,relu,relu,20
