,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
0,08/08/23-120636,08/08/23-120645,8.362334489822388,100,0.6267680525779724,0.6610800623893738,0.25987955927848816,0.6372538805007935,0.6536796689033508,0.14432987570762634,0.5,0.2,12,relu,uniform,24,relu,0.0,sigmoid,Adam,binary_crossentropy,200,20
1,08/08/23-120645,08/08/23-120651,6.405649662017822,100,0.5991230010986328,0.6722532510757446,0.23881959915161133,0.6074084639549255,0.6580086350440979,0.16842103004455566,0.5,0.2,12,relu,uniform,24,relu,0.0,sigmoid,Adam,binary_crossentropy,400,20
2,08/08/23-120652,08/08/23-120659,7.0520970821380615,100,0.593547523021698,0.6964617967605591,0.4743210971355438,0.5903067588806152,0.7316017150878906,0.49053022265434265,0.5,0.2,12,relu,uniform,24,relu,0.0,sigmoid,Nadam,binary_crossentropy,200,20
3,08/08/23-120659,08/08/23-120707,7.846418380737305,100,0.5886854529380798,0.6983240246772766,0.4359925389289856,0.6043750643730164,0.6883116960525513,0.4098360240459442,0.5,0.2,12,relu,uniform,24,relu,0.0,sigmoid,Nadam,binary_crossentropy,400,20
4,08/08/23-120707,08/08/23-120716,9.323979616165161,100,4.404750347137451,0.5456238389015198,0.3932760953903198,3.53772234916687,0.5670995712280273,0.45839351415634155,0.5,0.2,12,relu,uniform,24,relu,0.0,tanh,Adam,binary_crossentropy,200,20
5,08/08/23-120716,08/08/23-120723,6.2926976680755615,100,2.8565011024475098,0.633147120475769,0.378203809261322,2.6978752613067627,0.6839826703071594,0.4427480101585388,0.5,0.2,12,relu,uniform,24,relu,0.0,tanh,Adam,binary_crossentropy,400,20
6,08/08/23-120723,08/08/23-120731,7.754346609115601,100,1.416176438331604,0.6759776473045349,0.4618360996246338,0.730862021446228,0.6926407217979431,0.365476131439209,0.5,0.2,12,relu,uniform,24,relu,0.0,tanh,Nadam,binary_crossentropy,200,20
7,08/08/23-120731,08/08/23-120738,7.193707227706909,100,0.7703388929367065,0.6703910827636719,0.43904316425323486,0.5875685811042786,0.6926407217979431,0.49645379185676575,0.5,0.2,12,relu,uniform,24,relu,0.0,tanh,Nadam,binary_crossentropy,400,20
8,08/08/23-120738,08/08/23-120745,6.910556793212891,100,0.622146487236023,0.6685288548469543,0.2435474544763565,0.6324726343154907,0.6450216174125671,0.11827954649925232,0.5,0.2,12,relu,uniform,24,relu,0.2,sigmoid,Adam,binary_crossentropy,200,20
9,08/08/23-120745,08/08/23-120751,6.197942018508911,100,0.607738196849823,0.6927374005317688,0.40776628255844116,0.6062672138214111,0.7186146974563599,0.47999992966651917,0.5,0.2,12,relu,uniform,24,relu,0.2,sigmoid,Adam,binary_crossentropy,400,20
10,08/08/23-120752,08/08/23-120759,7.1078126430511475,100,0.5800987482070923,0.6964617967605591,0.4306308329105377,0.5908827185630798,0.7142857313156128,0.4107142388820648,0.5,0.2,12,relu,uniform,24,relu,0.2,sigmoid,Nadam,binary_crossentropy,200,20
11,08/08/23-120759,08/08/23-120805,6.6563334465026855,100,0.5814528465270996,0.7113593816757202,0.4635913372039795,0.6181984543800354,0.6883116960525513,0.3793103098869324,0.5,0.2,12,relu,uniform,24,relu,0.2,sigmoid,Nadam,binary_crossentropy,400,20
12,08/08/23-120806,08/08/23-120812,6.63946795463562,100,5.285270690917969,0.6573556661605835,0.0,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,relu,0.2,tanh,Adam,binary_crossentropy,200,20
13,08/08/23-120812,08/08/23-120819,6.297459363937378,100,2.9683706760406494,0.6629422903060913,0.3437703251838684,2.6763579845428467,0.7056276798248291,0.4687499701976776,0.5,0.2,12,relu,uniform,24,relu,0.2,tanh,Adam,binary_crossentropy,400,20
14,08/08/23-120819,08/08/23-120826,7.08867621421814,100,0.6139984130859375,0.6983240246772766,0.48952874541282654,0.5637710094451904,0.7186146974563599,0.4546666145324707,0.5,0.2,12,relu,uniform,24,relu,0.2,tanh,Nadam,binary_crossentropy,200,20
15,08/08/23-120826,08/08/23-120833,6.66758394241333,100,0.8147503733634949,0.690875232219696,0.29754698276519775,0.8889561295509338,0.6753246784210205,0.24242423474788666,0.5,0.2,12,relu,uniform,24,relu,0.2,tanh,Nadam,binary_crossentropy,400,20
16,08/08/23-120833,08/08/23-120840,6.505420923233032,100,0.5713900923728943,0.7132216095924377,0.4953782856464386,0.5846541523933411,0.7272727489471436,0.48906242847442627,0.5,0.2,12,relu,uniform,24,relu,0.4,sigmoid,Adam,binary_crossentropy,200,20
17,08/08/23-120840,08/08/23-120846,6.188799142837524,100,0.6223713755607605,0.6722532510757446,0.366897851228714,0.6256532073020935,0.6580086350440979,0.3471073806285858,0.5,0.2,12,relu,uniform,24,relu,0.4,sigmoid,Adam,binary_crossentropy,400,20
18,08/08/23-120846,08/08/23-120853,7.007683753967285,100,0.5833335518836975,0.6945996284484863,0.3785008192062378,0.602097749710083,0.6926407217979431,0.2928571105003357,0.5,0.2,12,relu,uniform,24,relu,0.4,sigmoid,Nadam,binary_crossentropy,200,20
19,08/08/23-120853,08/08/23-120900,6.6421849727630615,100,0.607010543346405,0.6797020435333252,0.40081584453582764,0.6117382645606995,0.6839826703071594,0.41599997878074646,0.5,0.2,12,relu,uniform,24,relu,0.4,sigmoid,Nadam,binary_crossentropy,400,20
20,08/08/23-120900,08/08/23-120907,6.553229570388794,100,5.285270690917969,0.6573556661605835,0.0,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,relu,0.4,tanh,Adam,binary_crossentropy,200,20
21,08/08/23-120907,08/08/23-120913,6.27341890335083,100,0.8182801604270935,0.633147120475769,0.46535688638687134,0.7424066662788391,0.6060606241226196,0.44848477840423584,0.5,0.2,12,relu,uniform,24,relu,0.4,tanh,Adam,binary_crossentropy,400,20
22,08/08/23-120913,08/08/23-120920,7.0450439453125,100,4.443556785583496,0.6368715167045593,0.24145691096782684,4.256440162658691,0.6709956526756287,0.15789473056793213,0.5,0.2,12,relu,uniform,24,relu,0.4,tanh,Nadam,binary_crossentropy,200,20
23,08/08/23-120920,08/08/23-120927,6.638200044631958,100,1.005859136581421,0.6722532510757446,0.3108527362346649,0.9330370426177979,0.6969696879386902,0.3749999701976776,0.5,0.2,12,relu,uniform,24,relu,0.4,tanh,Nadam,binary_crossentropy,400,20
24,08/08/23-120927,08/08/23-120934,6.528181314468384,100,0.593677818775177,0.685288667678833,0.31099048256874084,0.6046320199966431,0.6666666865348816,0.2580905854701996,0.5,0.2,12,relu,uniform,24,elu,0.0,sigmoid,Adam,binary_crossentropy,200,20
25,08/08/23-120934,08/08/23-120940,6.148859024047852,100,0.6013864278793335,0.7039105892181396,0.4065174460411072,0.6120505928993225,0.6796537041664124,0.3934425711631775,0.5,0.2,12,relu,uniform,24,elu,0.0,sigmoid,Adam,binary_crossentropy,400,20
26,08/08/23-120940,08/08/23-120947,6.931886672973633,100,0.5757784247398376,0.6983240246772766,0.4782516062259674,0.5976406335830688,0.7056276798248291,0.4231601357460022,0.5,0.2,12,relu,uniform,24,elu,0.0,sigmoid,Nadam,binary_crossentropy,200,20
27,08/08/23-120947,08/08/23-120954,6.619293928146362,100,0.5863963961601257,0.7150837779045105,0.4731934368610382,0.6036977767944336,0.7056276798248291,0.5072462558746338,0.5,0.2,12,relu,uniform,24,elu,0.0,sigmoid,Nadam,binary_crossentropy,400,20
28,08/08/23-120954,08/08/23-121001,6.6808154582977295,100,4.2896552085876465,0.6722532510757446,0.11523348093032837,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.0,tanh,Adam,binary_crossentropy,200,20
29,08/08/23-121001,08/08/23-121007,6.471343278884888,100,5.175910949707031,0.6480447053909302,0.03516193851828575,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.0,tanh,Adam,binary_crossentropy,400,20
