-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  52.5063   Longitude -1.8678 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 103.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,1,1,0,0.0
2011,1,1,1,0.0
2011,1,1,2,0.0
2011,1,1,3,0.0
2011,1,1,4,0.0
2011,1,1,5,0.0
2011,1,1,6,0.0
2011,1,1,7,0.0
2011,1,1,8,12.3
2011,1,1,9,82.76
2011,1,1,10,86.09
2011,1,1,11,52.48
2011,1,1,12,58.85
2011,1,1,13,68.45
2011,1,1,14,33.93
2011,1,1,15,21.33
2011,1,1,16,0.0
2011,1,1,17,0.0
2011,1,1,18,0.0
2011,1,1,19,0.0
2011,1,1,20,0.0
2011,1,1,21,0.0
2011,1,1,22,0.0
2011,1,1,23,0.0
2011,1,2,0,0.0
2011,1,2,1,0.0
2011,1,2,2,0.0
2011,1,2,3,0.0
2011,1,2,4,0.0
2011,1,2,5,0.0
2011,1,2,6,0.0
2011,1,2,7,0.0
2011,1,2,8,10.49
2011,1,2,9,58.92
2011,1,2,10,123.98
2011,1,2,11,175.3
2011,1,2,12,141.26
2011,1,2,13,115.39
2011,1,2,14,71.1
2011,1,2,15,17.38
2011,1,2,16,0.0
2011,1,2,17,0.0
2011,1,2,18,0.0
2011,1,2,19,0.0
2011,1,2,20,0.0
2011,1,2,21,0.0
2011,1,2,22,0.0
2011,1,2,23,0.0
2011,1,3,0,0.0
2011,1,3,1,0.0
2011,1,3,2,0.0
2011,1,3,3,0.0
2011,1,3,4,0.0
2011,1,3,5,0.0
2011,1,3,6,0.0
2011,1,3,7,0.0
2011,1,3,8,10.35
2011,1,3,9,43.03
2011,1,3,10,62.23
2011,1,3,11,158.03
2011,1,3,12,146.14
2011,1,3,13,116.41
2011,1,3,14,70.45
2011,1,3,15,24.12
2011,1,3,16,0.0
2011,1,3,17,0.0
2011,1,3,18,0.0
2011,1,3,19,0.0
2011,1,3,20,0.0
2011,1,3,21,0.0
2011,1,3,22,0.0
2011,1,3,23,0.0
2011,1,4,0,0.0
2011,1,4,1,0.0
2011,1,4,2,0.0
2011,1,4,3,0.0
2011,1,4,4,0.0
2011,1,4,5,0.0
2011,1,4,6,0.0
2011,1,4,7,0.0
2011,1,4,8,9.45
2011,1,4,9,45.62
2011,1,4,10,94.55
2011,1,4,11,126.3
2011,1,4,12,143.02
2011,1,4,13,117.66
2011,1,4,14,75.64
2011,1,4,15,22.66
2011,1,4,16,0.0
2011,1,4,17,0.0
2011,1,4,18,0.0
2011,1,4,19,0.0
2011,1,4,20,0.0
2011,1,4,21,0.0
2011,1,4,22,0.0
2011,1,4,23,0.0
2011,1,5,0,0.0
2011,1,5,1,0.0
2011,1,5,2,0.0
2011,1,5,3,0.0
2011,1,5,4,0.0
2011,1,5,5,0.0
2011,1,5,6,0.0
2011,1,5,7,0.0
2011,1,5,8,10.69
2011,1,5,9,52.69
2011,1,5,10,71.41
2011,1,5,11,109.34
2011,1,5,12,43.79
2011,1,5,13,63.61
2011,1,5,14,26.84
2011,1,5,15,23.68
2011,1,5,16,0.0
2011,1,5,17,0.0
2011,1,5,18,0.0
2011,1,5,19,0.0
2011,1,5,20,0.0
2011,1,5,21,0.0
2011,1,5,22,0.0
2011,1,5,23,0.0
2011,1,6,0,0.0
2011,1,6,1,0.0
2011,1,6,2,0.0
2011,1,6,3,0.0
2011,1,6,4,0.0
2011,1,6,5,0.0
2011,1,6,6,0.0
2011,1,6,7,0.0
2011,1,6,8,9.26
2011,1,6,9,43.74
2011,1,6,10,79.12
2011,1,6,11,109.57
2011,1,6,12,131.4
2011,1,6,13,128.68
2011,1,6,14,77.27
2011,1,6,15,25.18
2011,1,6,16,0.0
2011,1,6,17,0.0
2011,1,6,18,0.0
2011,1,6,19,0.0
2011,1,6,20,0.0
2011,1,6,21,0.0
2011,1,6,22,0.0
2011,1,6,23,0.0
2011,1,7,0,0.0
2011,1,7,1,0.0
2011,1,7,2,0.0
2011,1,7,3,0.0
2011,1,7,4,0.0
2011,1,7,5,0.0
2011,1,7,6,0.0
2011,1,7,7,0.0
2011,1,7,8,8.73
2011,1,7,9,35.34
2011,1,7,10,48.44
