-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  51.5174   Longitude -0.1457 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 73.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,1,1,0,0.0
2011,1,1,1,0.0
2011,1,1,2,0.0
2011,1,1,3,0.0
2011,1,1,4,0.0
2011,1,1,5,0.0
2011,1,1,6,0.0
2011,1,1,7,0.0
2011,1,1,8,17.03
2011,1,1,9,95.88
2011,1,1,10,69.62
2011,1,1,11,90.13
2011,1,1,12,102.57
2011,1,1,13,62.8
2011,1,1,14,33.09
2011,1,1,15,28.75
2011,1,1,16,0.0
2011,1,1,17,0.0
2011,1,1,18,0.0
2011,1,1,19,0.0
2011,1,1,20,0.0
2011,1,1,21,0.0
2011,1,1,22,0.0
2011,1,1,23,0.0
2011,1,2,0,0.0
2011,1,2,1,0.0
2011,1,2,2,0.0
2011,1,2,3,0.0
2011,1,2,4,0.0
2011,1,2,5,0.0
2011,1,2,6,0.0
2011,1,2,7,0.0
2011,1,2,8,15.98
2011,1,2,9,70.32
2011,1,2,10,135.84
2011,1,2,11,186.61
2011,1,2,12,187.0
2011,1,2,13,154.24
2011,1,2,14,99.63
2011,1,2,15,27.16
2011,1,2,16,0.0
2011,1,2,17,0.0
2011,1,2,18,0.0
2011,1,2,19,0.0
2011,1,2,20,0.0
2011,1,2,21,0.0
2011,1,2,22,0.0
2011,1,2,23,0.0
2011,1,3,0,0.0
2011,1,3,1,0.0
2011,1,3,2,0.0
2011,1,3,3,0.0
2011,1,3,4,0.0
2011,1,3,5,0.0
2011,1,3,6,0.0
2011,1,3,7,0.0
2011,1,3,8,15.35
2011,1,3,9,50.91
2011,1,3,10,81.01
2011,1,3,11,126.44
2011,1,3,12,106.81
2011,1,3,13,99.74
2011,1,3,14,80.7
2011,1,3,15,22.55
2011,1,3,16,0.0
2011,1,3,17,0.0
2011,1,3,18,0.0
2011,1,3,19,0.0
2011,1,3,20,0.0
2011,1,3,21,0.0
2011,1,3,22,0.0
2011,1,3,23,0.0
2011,1,4,0,0.0
2011,1,4,1,0.0
2011,1,4,2,0.0
2011,1,4,3,0.0
2011,1,4,4,0.0
2011,1,4,5,0.0
2011,1,4,6,0.0
2011,1,4,7,0.0
2011,1,4,8,12.38
2011,1,4,9,47.36
2011,1,4,10,92.35
2011,1,4,11,130.49
2011,1,4,12,148.3
2011,1,4,13,125.86
2011,1,4,14,81.48
2011,1,4,15,28.32
2011,1,4,16,0.0
2011,1,4,17,0.0
2011,1,4,18,0.0
2011,1,4,19,0.0
2011,1,4,20,0.0
2011,1,4,21,0.0
2011,1,4,22,0.0
2011,1,4,23,0.0
2011,1,5,0,0.0
2011,1,5,1,0.0
2011,1,5,2,0.0
2011,1,5,3,0.0
2011,1,5,4,0.0
2011,1,5,5,0.0
2011,1,5,6,0.0
2011,1,5,7,0.0
2011,1,5,8,16.02
2011,1,5,9,79.83
2011,1,5,10,133.45
2011,1,5,11,137.3
2011,1,5,12,120.32
2011,1,5,13,106.41
2011,1,5,14,62.48
2011,1,5,15,23.91
2011,1,5,16,0.0
2011,1,5,17,0.0
2011,1,5,18,0.0
2011,1,5,19,0.0
2011,1,5,20,0.0
2011,1,5,21,0.0
2011,1,5,22,0.0
2011,1,5,23,0.0
2011,1,6,0,0.0
2011,1,6,1,0.0
2011,1,6,2,0.0
2011,1,6,3,0.0
2011,1,6,4,0.0
2011,1,6,5,0.0
2011,1,6,6,0.0
2011,1,6,7,0.0
2011,1,6,8,10.59
2011,1,6,9,29.83
2011,1,6,10,23.52
2011,1,6,11,33.38
2011,1,6,12,27.11
2011,1,6,13,49.23
2011,1,6,14,29.54
2011,1,6,15,21.92
2011,1,6,16,0.0
2011,1,6,17,0.0
2011,1,6,18,0.0
2011,1,6,19,0.0
2011,1,6,20,0.0
2011,1,6,21,0.0
2011,1,6,22,0.0
2011,1,6,23,0.0
2011,1,7,0,0.0
2011,1,7,1,0.0
2011,1,7,2,0.0
2011,1,7,3,0.0
2011,1,7,4,0.0
2011,1,7,5,0.0
2011,1,7,6,0.0
2011,1,7,7,0.0
2011,1,7,8,12.07
2011,1,7,9,40.6
2011,1,7,10,104.53
