-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  55.9585   Longitude -3.2026 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,7.17
2011,1,1,1,0.0,6.16
2011,1,1,2,0.0,5.72
2011,1,1,3,0.0,5.61
2011,1,1,4,0.0,5.36
2011,1,1,5,0.0,5.02
2011,1,1,6,0.0,5.08
2011,1,1,7,0.0,5.36
2011,1,1,8,0.0,5.63
2011,1,1,9,33.56,5.6
2011,1,1,10,53.38,5.47
2011,1,1,11,128.91,5.31
2011,1,1,12,131.8,5.11
2011,1,1,13,103.56,5.2
2011,1,1,14,59.82,5.56
2011,1,1,15,13.27,6.04
2011,1,1,16,0.0,6.47
2011,1,1,17,0.0,6.7
2011,1,1,18,0.0,6.88
2011,1,1,19,0.0,6.87
2011,1,1,20,0.0,6.8
2011,1,1,21,0.0,6.68
2011,1,1,22,0.0,6.76
2011,1,1,23,0.0,6.67
2011,1,2,0,0.0,6.45
2011,1,2,1,0.0,6.33
2011,1,2,2,0.0,6.29
2011,1,2,3,0.0,6.37
2011,1,2,4,0.0,6.51
2011,1,2,5,0.0,6.54
2011,1,2,6,0.0,6.49
2011,1,2,7,0.0,6.44
2011,1,2,8,0.0,6.44
2011,1,2,9,43.6,6.1
2011,1,2,10,57.66,5.57
2011,1,2,11,89.27,5.07
2011,1,2,12,96.14,4.79
2011,1,2,13,72.41,4.76
2011,1,2,14,49.49,4.95
2011,1,2,15,18.66,5.3
2011,1,2,16,0.0,5.51
2011,1,2,17,0.0,5.51
2011,1,2,18,0.0,5.32
2011,1,2,19,0.0,4.98
2011,1,2,20,0.0,4.59
2011,1,2,21,0.0,4.16
2011,1,2,22,0.0,3.84
2011,1,2,23,0.0,3.92
2011,1,3,0,0.0,4.44
2011,1,3,1,0.0,5.14
2011,1,3,2,0.0,5.75
2011,1,3,3,0.0,6.51
2011,1,3,4,0.0,7.26
2011,1,3,5,0.0,8.06
2011,1,3,6,0.0,8.78
2011,1,3,7,0.0,9.4
2011,1,3,8,0.0,9.76
2011,1,3,9,39.02,9.44
2011,1,3,10,73.79,9.09
2011,1,3,11,118.99,9.4
2011,1,3,12,106.09,9.98
2011,1,3,13,95.34,10.47
2011,1,3,14,51.81,11.35
2011,1,3,15,14.85,11.49
2011,1,3,16,0.0,11.6
2011,1,3,17,0.0,11.73
2011,1,3,18,0.0,12.05
2011,1,3,19,0.0,12.51
2011,1,3,20,0.0,12.95
2011,1,3,21,0.0,13.41
2011,1,3,22,0.0,12.44
2011,1,3,23,0.0,12.36
2011,1,4,0,0.0,11.95
2011,1,4,1,0.0,10.82
2011,1,4,2,0.0,10.44
2011,1,4,3,0.0,10.79
2011,1,4,4,0.0,10.77
2011,1,4,5,0.0,10.5
2011,1,4,6,0.0,10.27
2011,1,4,7,0.0,10.42
2011,1,4,8,0.0,10.75
2011,1,4,9,30.9,11.43
2011,1,4,10,31.69,11.51
2011,1,4,11,44.63,11.84
2011,1,4,12,62.19,12.25
2011,1,4,13,33.17,11.99
2011,1,4,14,27.58,11.62
2011,1,4,15,13.4,11.48
2011,1,4,16,0.0,11.54
2011,1,4,17,0.0,11.25
2011,1,4,18,0.0,10.42
2011,1,4,19,0.0,10.16
2011,1,4,20,0.0,9.69
2011,1,4,21,0.0,9.47
2011,1,4,22,0.0,9.16
2011,1,4,23,0.0,8.85
2011,1,5,0,0.0,9.02
2011,1,5,1,0.0,8.83
2011,1,5,2,0.0,9.08
2011,1,5,3,0.0,8.94
2011,1,5,4,0.0,8.69
2011,1,5,5,0.0,8.18
2011,1,5,6,0.0,8.26
2011,1,5,7,0.0,8.05
2011,1,5,8,0.0,7.75
2011,1,5,9,50.76,7.49
2011,1,5,10,88.96,7.45
2011,1,5,11,81.45,7.17
2011,1,5,12,84.95,7.41
2011,1,5,13,63.45,7.89
2011,1,5,14,31.01,8.19
2011,1,5,15,16.88,7.86
2011,1,5,16,0.0,7.34
2011,1,5,17,0.0,6.53
2011,1,5,18,0.0,6.1
2011,1,5,19,0.0,6.56
2011,1,5,20,0.0,7.08
2011,1,5,21,0.0,7.27
2011,1,5,22,0.0,7.47
2011,1,5,23,0.0,7.97
2011,1,6,0,0.0,8.75
2011,1,6,1,0.0,9.01
2011,1,6,2,0.0,8.86
2011,1,6,3,0.0,8.66
2011,1,6,4,0.0,7.63
2011,1,6,5,0.0,7.72
2011,1,6,6,0.0,7.41
2011,1,6,7,0.0,7.09
2011,1,6,8,0.0,7.16
2011,1,6,9,53.22,6.93
2011,1,6,10,68.3,6.41
2011,1,6,11,92.72,6.23
2011,1,6,12,132.16,6.54
2011,1,6,13,114.7,6.61
2011,1,6,14,87.68,6.62
2011,1,6,15,27.4,6.83
2011,1,6,16,0.0,6.99
2011,1,6,17,0.0,7.0
2011,1,6,18,0.0,6.6
2011,1,6,19,0.0,6.32
2011,1,6,20,0.0,6.13
2011,1,6,21,0.0,6.1
2011,1,6,22,0.0,6.13
2011,1,6,23,0.0,6.23
2011,1,7,0,0.0,6.01
2011,1,7,1,0.0,5.38
2011,1,7,2,0.0,4.57
2011,1,7,3,0.0,3.79
2011,1,7,4,0.0,3.36
2011,1,7,5,0.0,3.84
2011,1,7,6,0.0,4.62
2011,1,7,7,0.0,5.17
2011,1,7,8,0.0,5.22
2011,1,7,9,38.92,4.7
2011,1,7,10,83.26,4.25
2011,1,7,11,108.08,4.19
2011,1,7,12,109.8,4.43
2011,1,7,13,79.77,4.52
2011,1,7,14,37.97,4.49
2011,1,7,15,15.55,4.5
2011,1,7,16,0.0,4.64
2011,1,7,17,0.0,5.17
2011,1,7,18,0.0,5.85
2011,1,7,19,0.0,6.4
2011,1,7,20,0.0,6.89
2011,1,7,21,0.0,7.18
2011,1,7,22,0.0,7.39
2011,1,7,23,0.0,7.05
2011,1,8,0,0.0,6.42
2011,1,8,1,0.0,6.15
