-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  55.86   Longitude -4.2354 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 193.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,6.91
2011,1,1,1,0.0,6.18
2011,1,1,2,0.0,5.37
2011,1,1,3,0.0,5.25
2011,1,1,4,0.0,5.63
2011,1,1,5,0.0,5.57
2011,1,1,6,0.0,5.11
2011,1,1,7,0.0,4.87
2011,1,1,8,0.0,4.9
2011,1,1,9,20.61,4.98
2011,1,1,10,34.8,5.03
2011,1,1,11,84.44,4.8
2011,1,1,12,84.17,4.66
2011,1,1,13,69.66,4.76
2011,1,1,14,39.7,4.94
2011,1,1,15,14.55,5.11
2011,1,1,16,0.0,5.25
2011,1,1,17,0.0,5.34
2011,1,1,18,0.0,5.36
2011,1,1,19,0.0,5.26
2011,1,1,20,0.0,5.16
2011,1,1,21,0.0,5.09
2011,1,1,22,0.0,5.25
2011,1,1,23,0.0,5.16
2011,1,2,0,0.0,4.89
2011,1,2,1,0.0,4.69
2011,1,2,2,0.0,4.61
2011,1,2,3,0.0,4.62
2011,1,2,4,0.0,4.67
2011,1,2,5,0.0,4.71
2011,1,2,6,0.0,4.72
2011,1,2,7,0.0,4.74
2011,1,2,8,0.0,4.64
2011,1,2,9,37.72,4.39
2011,1,2,10,37.95,3.99
2011,1,2,11,65.52,3.56
2011,1,2,12,90.79,3.28
2011,1,2,13,45.5,3.25
2011,1,2,14,35.0,3.34
2011,1,2,15,17.38,3.47
2011,1,2,16,0.0,3.5
2011,1,2,17,0.0,3.44
2011,1,2,18,0.0,3.27
2011,1,2,19,0.0,2.99
2011,1,2,20,0.0,2.73
2011,1,2,21,0.0,2.63
2011,1,2,22,0.0,2.76
2011,1,2,23,0.0,3.17
2011,1,3,0,0.0,3.79
2011,1,3,1,0.0,4.51
2011,1,3,2,0.0,5.15
2011,1,3,3,0.0,6.03
2011,1,3,4,0.0,6.7
2011,1,3,5,0.0,7.48
2011,1,3,6,0.0,8.45
2011,1,3,7,0.0,8.86
2011,1,3,8,0.0,9.1
2011,1,3,9,24.01,8.92
2011,1,3,10,54.1,8.83
2011,1,3,11,89.16,8.9
2011,1,3,12,86.69,9.27
2011,1,3,13,61.35,9.61
2011,1,3,14,37.47,9.53
2011,1,3,15,16.11,9.16
2011,1,3,16,0.0,8.92
2011,1,3,17,0.0,9.16
2011,1,3,18,0.0,9.55
2011,1,3,19,0.0,11.02
2011,1,3,20,0.0,11.28
2011,1,3,21,0.0,10.56
2011,1,3,22,0.0,9.53
2011,1,3,23,0.0,9.5
2011,1,4,0,0.0,9.72
2011,1,4,1,0.0,9.64
2011,1,4,2,0.0,9.26
2011,1,4,3,0.0,9.29
2011,1,4,4,0.0,9.69
2011,1,4,5,0.0,10.1
2011,1,4,6,0.0,10.27
2011,1,4,7,0.0,10.9
2011,1,4,8,0.0,11.31
2011,1,4,9,18.27,11.53
2011,1,4,10,11.15,10.84
2011,1,4,11,47.98,11.01
2011,1,4,12,64.31,11.34
2011,1,4,13,44.23,11.06
2011,1,4,14,25.8,10.75
2011,1,4,15,15.1,10.55
2011,1,4,16,0.0,10.1
2011,1,4,17,0.0,9.51
2011,1,4,18,0.0,9.17
2011,1,4,19,0.0,8.89
2011,1,4,20,0.0,8.63
2011,1,4,21,0.0,8.38
2011,1,4,22,0.0,8.38
2011,1,4,23,0.0,8.24
2011,1,5,0,0.0,8.39
2011,1,5,1,0.0,8.19
2011,1,5,2,0.0,8.3
2011,1,5,3,0.0,8.33
2011,1,5,4,0.0,7.99
2011,1,5,5,0.0,7.93
2011,1,5,6,0.0,8.1
2011,1,5,7,0.0,8.15
2011,1,5,8,0.0,7.96
2011,1,5,9,22.38,7.86
2011,1,5,10,35.88,7.88
2011,1,5,11,52.35,7.76
2011,1,5,12,66.49,7.79
2011,1,5,13,80.28,7.3
2011,1,5,14,23.48,6.35
2011,1,5,15,19.24,4.87
2011,1,5,16,0.0,3.47
2011,1,5,17,0.0,3.41
2011,1,5,18,0.0,4.77
2011,1,5,19,0.0,5.81
2011,1,5,20,0.0,6.11
2011,1,5,21,0.0,6.13
2011,1,5,22,0.0,6.46
2011,1,5,23,0.0,7.03
2011,1,6,0,0.0,7.61
2011,1,6,1,0.0,7.75
2011,1,6,2,0.0,7.74
2011,1,6,3,0.0,7.85
2011,1,6,4,0.0,7.92
2011,1,6,5,0.0,7.93
2011,1,6,6,0.0,7.87
2011,1,6,7,0.0,7.67
2011,1,6,8,0.0,7.35
2011,1,6,9,42.05,7.18
2011,1,6,10,102.73,6.6
2011,1,6,11,171.77,6.12
2011,1,6,12,182.79,5.99
2011,1,6,13,162.72,6.08
2011,1,6,14,100.02,6.04
2011,1,6,15,36.45,6.05
2011,1,6,16,0.0,5.97
2011,1,6,17,0.0,5.69
2011,1,6,18,0.0,5.21
2011,1,6,19,0.0,4.66
2011,1,6,20,0.0,4.2
2011,1,6,21,0.0,3.86
2011,1,6,22,0.0,3.76
2011,1,6,23,0.0,3.82
2011,1,7,0,0.0,3.59
2011,1,7,1,0.0,3.05
2011,1,7,2,0.0,2.49
2011,1,7,3,0.0,2.2
2011,1,7,4,0.0,2.67
2011,1,7,5,0.0,3.67
2011,1,7,6,0.0,4.5
2011,1,7,7,0.0,5.0
2011,1,7,8,0.0,4.98
2011,1,7,9,34.55,4.46
2011,1,7,10,86.11,4.02
2011,1,7,11,144.34,3.72
2011,1,7,12,145.04,3.41
2011,1,7,13,115.37,3.37
2011,1,7,14,61.93,3.7
2011,1,7,15,19.79,4.19
2011,1,7,16,0.0,4.73
2011,1,7,17,0.0,5.08
2011,1,7,18,0.0,5.4
2011,1,7,19,0.0,5.88
2011,1,7,20,0.0,6.34
2011,1,7,21,0.0,6.77
2011,1,7,22,0.0,7.08
2011,1,7,23,0.0,7.12
2011,1,8,0,0.0,6.95
2011,1,8,1,0.0,6.7
2011,1,8,2,0.0,6.44
2011,1,8,3,0.0,6.15
2011,1,8,4,0.0,6.05
2011,1,8,5,0.0,6.16
2011,1,8,6,0.0,6.32
2011,1,8,7,0.0,6.41
2011,1,8,8,0.0,6.47
2011,1,8,9,41.54,6.6
2011,1,8,10,61.78,6.62
2011,1,8,11,140.34,6.4
2011,1,8,12,154.38,6.39
2011,1,8,13,94.38,6.26
2011,1,8,14,54.05,5.79
2011,1,8,15,21.53,5.76
2011,1,8,16,0.0,6.04
2011,1,8,17,0.0,6.13
2011,1,8,18,0.0,6.04
2011,1,8,19,0.0,5.7
2011,1,8,20,0.0,5.08
2011,1,8,21,0.0,5.22
2011,1,8,22,0.0,7.11
2011,1,8,23,0.0,8.1
2011,1,9,0,0.0,7.97
2011,1,9,1,0.0,8.32
2011,1,9,2,0.0,8.96
2011,1,9,3,0.0,9.16
2011,1,9,4,0.0,9.38
2011,1,9,5,0.0,9.31
2011,1,9,6,0.0,9.94
2011,1,9,7,0.0,10.47
2011,1,9,8,0.0,10.72
2011,1,9,9,38.8,10.23
2011,1,9,10,97.41,9.21
2011,1,9,11,144.27,7.93
2011,1,9,12,173.48,6.92
2011,1,9,13,161.02,6.39
2011,1,9,14,104.63,6.05
2011,1,9,15,29.77,5.87
2011,1,9,16,0.0,6.17
2011,1,9,17,0.0,6.93
2011,1,9,18,0.0,8.07
2011,1,9,19,0.0,9.07
2011,1,9,20,0.0,9.26
2011,1,9,21,0.0,9.43
2011,1,9,22,0.0,9.56
2011,1,9,23,0.0,9.38
2011,1,10,0,0.0,9.4
2011,1,10,1,0.0,9.61
2011,1,10,2,0.0,9.86
2011,1,10,3,0.0,9.81
2011,1,10,4,0.0,9.49
2011,1,10,5,0.0,9.03
2011,1,10,6,0.0,8.44
2011,1,10,7,0.0,8.55
2011,1,10,8,0.0,7.73
2011,1,10,9,23.83,6.45
2011,1,10,10,58.52,5.4
2011,1,10,11,83.48,4.38
2011,1,10,12,72.75,3.7
2011,1,10,13,82.27,3.19
2011,1,10,14,34.96,3.08
2011,1,10,15,19.44,3.61
2011,1,10,16,0.0,4.53
2011,1,10,17,0.0,5.56
2011,1,10,18,0.0,6.43
2011,1,10,19,0.0,6.64
2011,1,10,20,0.0,7.13
2011,1,10,21,0.0,7.6
2011,1,10,22,0.0,7.84
2011,1,10,23,0.0,8.17
2011,1,11,0,0.0,8.48
2011,1,11,1,0.0,8.43
2011,1,11,2,0.0,8.37
2011,1,11,3,0.0,8.16
2011,1,11,4,0.0,8.13
2011,1,11,5,0.0,8.51
2011,1,11,6,0.0,8.47
2011,1,11,7,0.0,8.85
2011,1,11,8,0.0,8.28
2011,1,11,9,49.02,7.36
2011,1,11,10,120.51,6.08
2011,1,11,11,183.77,4.66
2011,1,11,12,209.1,3.41
2011,1,11,13,189.89,2.42
2011,1,11,14,115.31,2.24
2011,1,11,15,39.4,2.38
2011,1,11,16,0.0,1.73
2011,1,11,17,0.0,1.45
2011,1,11,18,0.0,1.84
2011,1,11,19,0.0,3.24
2011,1,11,20,0.0,4.17
2011,1,11,21,0.0,4.02
2011,1,11,22,0.0,4.77
2011,1,11,23,0.0,6.68
2011,1,12,0,0.0,7.78
2011,1,12,1,0.0,8.49
2011,1,12,2,0.0,8.11
2011,1,12,3,0.0,7.78
2011,1,12,4,0.0,9.29
2011,1,12,5,0.0,9.25
2011,1,12,6,0.0,7.17
2011,1,12,7,0.0,6.25
2011,1,12,8,0.0,7.13
2011,1,12,9,28.02,8.8
2011,1,12,10,52.21,9.83
2011,1,12,11,85.77,9.88
2011,1,12,12,100.8,9.61
2011,1,12,13,94.39,9.48
2011,1,12,14,68.34,9.03
2011,1,12,15,28.5,8.69
2011,1,12,16,0.0,8.65
2011,1,12,17,0.0,8.4
2011,1,12,18,0.0,7.95
2011,1,12,19,0.0,7.26
2011,1,12,20,0.0,6.57
2011,1,12,21,0.0,6.2
2011,1,12,22,0.0,5.73
2011,1,12,23,0.0,4.92
2011,1,13,0,0.0,4.71
2011,1,13,1,0.0,5.54
2011,1,13,2,0.0,6.74
2011,1,13,3,0.0,7.22
2011,1,13,4,0.0,7.56
2011,1,13,5,0.0,7.87
2011,1,13,6,0.0,8.72
2011,1,13,7,0.0,10.78
2011,1,13,8,0.0,11.24
2011,1,13,9,38.81,10.78
2011,1,13,10,63.3,10.52
2011,1,13,11,89.25,10.14
2011,1,13,12,96.85,9.6
2011,1,13,13,101.34,9.38
2011,1,13,14,66.05,9.1
2011,1,13,15,28.7,8.97
2011,1,13,16,0.0,8.87
2011,1,13,17,0.0,8.47
2011,1,13,18,0.0,8.24
2011,1,13,19,0.0,7.83
2011,1,13,20,0.0,7.29
2011,1,13,21,0.0,6.93
2011,1,13,22,0.0,6.73
2011,1,13,23,0.0,6.74
2011,1,14,0,0.0,6.84
2011,1,14,1,0.0,7.28
2011,1,14,2,0.0,8.0
2011,1,14,3,0.0,8.6
2011,1,14,4,0.0,9.4
2011,1,14,5,0.0,9.81
2011,1,14,6,0.0,10.0
2011,1,14,7,0.0,9.86
2011,1,14,8,0.0,9.64
2011,1,14,9,34.71,9.5
2011,1,14,10,52.95,9.49
2011,1,14,11,84.18,10.46
2011,1,14,12,120.7,10.93
2011,1,14,13,120.78,11.5
2011,1,14,14,71.81,11.63
2011,1,14,15,34.48,12.23
2011,1,14,16,0.0,12.31
2011,1,14,17,0.0,12.35
2011,1,14,18,0.0,12.11
2011,1,14,19,0.0,11.78
2011,1,14,20,0.0,11.24
2011,1,14,21,0.0,10.22
2011,1,14,22,0.0,10.15
2011,1,14,23,0.0,10.02
2011,1,15,0,0.0,10.13
2011,1,15,1,0.0,10.82
2011,1,15,2,0.0,13.14
2011,1,15,3,0.0,15.99
2011,1,15,4,0.0,17.12
2011,1,15,5,0.0,16.69
2011,1,15,6,0.0,16.44
2011,1,15,7,0.0,15.09
2011,1,15,8,0.0,13.55
2011,1,15,9,22.58,14.0
2011,1,15,10,13.65,15.62
2011,1,15,11,52.13,16.26
2011,1,15,12,29.29,15.92
2011,1,15,13,47.92,15.81
2011,1,15,14,23.85,15.23
2011,1,15,15,22.02,15.13
2011,1,15,16,0.0,15.03
2011,1,15,17,0.0,14.82
2011,1,15,18,0.0,14.33
2011,1,15,19,0.0,13.69
2011,1,15,20,0.0,13.24
2011,1,15,21,0.0,12.9
2011,1,15,22,0.0,12.39
2011,1,15,23,0.0,12.25
2011,1,16,0,0.0,12.85
2011,1,16,1,0.0,13.52
2011,1,16,2,0.0,13.65
2011,1,16,3,0.0,13.38
2011,1,16,4,0.0,13.49
2011,1,16,5,0.0,13.96
2011,1,16,6,0.0,14.09
2011,1,16,7,0.0,13.75
2011,1,16,8,0.0,14.65
2011,1,16,9,32.85,15.69
2011,1,16,10,58.55,14.98
2011,1,16,11,87.98,14.08
2011,1,16,12,138.76,13.36
2011,1,16,13,117.13,12.72
2011,1,16,14,82.89,12.35
2011,1,16,15,41.69,12.39
2011,1,16,16,0.0,12.56
2011,1,16,17,0.0,12.83
2011,1,16,18,0.0,13.18
2011,1,16,19,0.0,13.55
2011,1,16,20,0.0,13.77
2011,1,16,21,0.0,13.78
2011,1,16,22,0.0,13.67
2011,1,16,23,0.0,13.43
2011,1,17,0,0.0,12.98
2011,1,17,1,0.0,12.35
2011,1,17,2,0.0,11.62
2011,1,17,3,0.0,11.02
2011,1,17,4,0.0,10.59
2011,1,17,5,0.0,9.74
2011,1,17,6,0.0,8.76
2011,1,17,7,0.0,8.15
2011,1,17,8,0.0,7.81
2011,1,17,9,57.42,7.29
2011,1,17,10,114.05,6.6
2011,1,17,11,177.15,6.38
2011,1,17,12,187.92,6.13
2011,1,17,13,167.75,5.97
2011,1,17,14,119.84,6.13
2011,1,17,15,50.76,6.41
2011,1,17,16,0.0,6.68
2011,1,17,17,0.0,6.84
2011,1,17,18,0.0,6.91
2011,1,17,19,0.0,7.07
2011,1,17,20,0.0,7.2
2011,1,17,21,0.0,7.31
2011,1,17,22,0.0,7.7
2011,1,17,23,0.0,7.47
2011,1,18,0,0.0,7.08
2011,1,18,1,0.0,6.97
2011,1,18,2,0.0,7.12
2011,1,18,3,0.0,7.3
2011,1,18,4,0.0,7.53
2011,1,18,5,0.0,7.85
2011,1,18,6,0.0,8.07
2011,1,18,7,0.0,7.88
2011,1,18,8,0.0,7.79
2011,1,18,9,59.14,7.17
2011,1,18,10,110.99,6.79
2011,1,18,11,176.11,6.4
2011,1,18,12,193.53,6.21
2011,1,18,13,183.04,6.24
2011,1,18,14,129.52,6.63
2011,1,18,15,65.36,7.16
2011,1,18,16,0.0,7.59
2011,1,18,17,0.0,7.42
2011,1,18,18,0.0,7.37
2011,1,18,19,0.0,7.78
2011,1,18,20,0.0,8.2
2011,1,18,21,0.0,8.16
2011,1,18,22,0.0,8.36
2011,1,18,23,0.0,8.46
2011,1,19,0,0.0,8.47
2011,1,19,1,0.0,8.35
2011,1,19,2,0.0,8.18
2011,1,19,3,0.0,7.23
2011,1,19,4,0.0,6.74
2011,1,19,5,0.0,6.52
2011,1,19,6,0.0,6.38
2011,1,19,7,0.0,6.06
2011,1,19,8,0.0,5.69
2011,1,19,9,54.48,5.31
2011,1,19,10,142.48,4.89
2011,1,19,11,201.02,4.49
2011,1,19,12,224.58,4.26
2011,1,19,13,206.74,3.99
2011,1,19,14,149.0,3.83
2011,1,19,15,72.9,3.77
2011,1,19,16,0.0,3.68
2011,1,19,17,0.0,3.52
2011,1,19,18,0.0,3.28
2011,1,19,19,0.0,3.02
2011,1,19,20,0.0,2.93
2011,1,19,21,0.0,3.02
2011,1,19,22,0.0,3.08
2011,1,19,23,0.0,3.0
2011,1,20,0,0.0,2.77
2011,1,20,1,0.0,2.54
2011,1,20,2,0.0,2.47
2011,1,20,3,0.0,2.39
2011,1,20,4,0.0,2.34
2011,1,20,5,0.0,2.44
2011,1,20,6,0.0,2.67
2011,1,20,7,0.0,2.99
2011,1,20,8,0.0,3.28
2011,1,20,9,72.51,3.48
2011,1,20,10,123.59,3.51
