-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  57.4894   Longitude -4.2024 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 247.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,6.22
2011,1,1,1,0.0,6.24
2011,1,1,2,0.0,6.37
2011,1,1,3,0.0,6.75
2011,1,1,4,0.0,6.93
2011,1,1,5,0.0,6.82
2011,1,1,6,0.0,6.77
2011,1,1,7,0.0,6.49
2011,1,1,8,0.0,6.27
2011,1,1,9,15.13,6.24
2011,1,1,10,34.64,5.77
2011,1,1,11,64.91,4.92
2011,1,1,12,75.67,5.26
2011,1,1,13,58.16,5.12
2011,1,1,14,37.12,5.0
2011,1,1,15,11.62,5.11
2011,1,1,16,0.0,5.39
2011,1,1,17,0.0,5.59
2011,1,1,18,0.0,5.7
2011,1,1,19,0.0,5.82
2011,1,1,20,0.0,6.01
2011,1,1,21,0.0,5.87
2011,1,1,22,0.0,5.4
2011,1,1,23,0.0,5.11
2011,1,2,0,0.0,5.12
2011,1,2,1,0.0,5.1
2011,1,2,2,0.0,4.86
2011,1,2,3,0.0,4.9
2011,1,2,4,0.0,5.08
2011,1,2,5,0.0,5.24
2011,1,2,6,0.0,5.32
2011,1,2,7,0.0,5.37
2011,1,2,8,0.0,5.13
2011,1,2,9,13.5,4.68
2011,1,2,10,36.63,4.14
2011,1,2,11,40.88,3.59
2011,1,2,12,73.19,3.21
2011,1,2,13,49.54,3.12
2011,1,2,14,37.3,3.19
2011,1,2,15,12.37,3.4
2011,1,2,16,0.0,3.63
2011,1,2,17,0.0,3.8
2011,1,2,18,0.0,3.93
2011,1,2,19,0.0,4.15
2011,1,2,20,0.0,4.43
2011,1,2,21,0.0,4.74
2011,1,2,22,0.0,5.33
2011,1,2,23,0.0,6.06
2011,1,3,0,0.0,6.83
2011,1,3,1,0.0,7.48
2011,1,3,2,0.0,8.07
2011,1,3,3,0.0,8.28
2011,1,3,4,0.0,8.73
2011,1,3,5,0.0,9.8
2011,1,3,6,0.0,9.63
2011,1,3,7,0.0,10.22
2011,1,3,8,0.0,10.88
2011,1,3,9,11.67,11.08
2011,1,3,10,34.95,11.13
2011,1,3,11,23.07,12.94
2011,1,3,12,34.38,12.73
2011,1,3,13,32.4,12.43
2011,1,3,14,24.62,11.33
2011,1,3,15,8.3,11.23
