-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  53.4195   Longitude -2.9939 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,7.97
2011,1,1,1,0.0,8.1
2011,1,1,2,0.0,8.2
2011,1,1,3,0.0,8.3
2011,1,1,4,0.0,8.43
2011,1,1,5,0.0,8.0
2011,1,1,6,0.0,7.64
2011,1,1,7,0.0,6.91
2011,1,1,8,0.0,5.64
2011,1,1,9,39.65,4.27
2011,1,1,10,36.57,3.32
2011,1,1,11,77.84,3.37
2011,1,1,12,68.63,4.04
2011,1,1,13,83.88,4.95
2011,1,1,14,33.76,5.75
2011,1,1,15,22.03,6.27
2011,1,1,16,0.0,6.57
2011,1,1,17,0.0,6.67
2011,1,1,18,0.0,6.63
2011,1,1,19,0.0,6.54
2011,1,1,20,0.0,6.21
2011,1,1,21,0.0,5.6
2011,1,1,22,0.0,5.17
2011,1,1,23,0.0,4.91
2011,1,2,0,0.0,4.91
2011,1,2,1,0.0,4.92
2011,1,2,2,0.0,4.95
2011,1,2,3,0.0,4.96
2011,1,2,4,0.0,4.86
2011,1,2,5,0.0,4.7
2011,1,2,6,0.0,4.47
2011,1,2,7,0.0,4.18
2011,1,2,8,0.0,3.86
2011,1,2,9,40.59,3.46
2011,1,2,10,88.99,2.81
2011,1,2,11,132.11,2.06
2011,1,2,12,144.37,1.93
2011,1,2,13,113.36,2.14
2011,1,2,14,69.1,2.51
2011,1,2,15,20.01,2.87
2011,1,2,16,0.0,3.12
2011,1,2,17,0.0,3.18
2011,1,2,18,0.0,3.1
2011,1,2,19,0.0,2.91
2011,1,2,20,0.0,2.6
2011,1,2,21,0.0,2.16
2011,1,2,22,0.0,1.65
2011,1,2,23,0.0,1.14
2011,1,3,0,0.0,0.86
2011,1,3,1,0.0,0.88
2011,1,3,2,0.0,1.0
2011,1,3,3,0.0,1.05
2011,1,3,4,0.0,0.99
2011,1,3,5,0.0,1.06
2011,1,3,6,0.0,1.13
2011,1,3,7,0.0,1.24
2011,1,3,8,0.0,1.41
2011,1,3,9,37.34,1.8
2011,1,3,10,81.78,2.3
2011,1,3,11,102.55,2.76
2011,1,3,12,110.98,3.21
2011,1,3,13,114.89,3.66
2011,1,3,14,69.28,4.18
2011,1,3,15,22.12,4.58
2011,1,3,16,0.0,4.92
2011,1,3,17,0.0,5.25
2011,1,3,18,0.0,5.56
2011,1,3,19,0.0,5.94
2011,1,3,20,0.0,6.41
2011,1,3,21,0.0,7.08
2011,1,3,22,0.0,7.63
2011,1,3,23,0.0,8.02
2011,1,4,0,0.0,8.53
2011,1,4,1,0.0,8.77
2011,1,4,2,0.0,8.72
2011,1,4,3,0.0,8.62
2011,1,4,4,0.0,8.69
2011,1,4,5,0.0,8.76
2011,1,4,6,0.0,8.66
2011,1,4,7,0.0,8.64
2011,1,4,8,0.0,8.59
2011,1,4,9,34.91,8.66
2011,1,4,10,75.4,8.45
2011,1,4,11,94.31,8.3
2011,1,4,12,76.76,8.5
