-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  51.502   Longitude -0.1265 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 73.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,4.68
2011,1,1,1,0.0,5.08
2011,1,1,2,0.0,5.51
2011,1,1,3,0.0,5.74
2011,1,1,4,0.0,5.79
2011,1,1,5,0.0,6.04
2011,1,1,6,0.0,6.54
2011,1,1,7,0.0,6.25
2011,1,1,8,17.03,6.29
2011,1,1,9,95.88,6.03
2011,1,1,10,69.62,5.14
2011,1,1,11,90.13,4.77
2011,1,1,12,102.57,4.51
2011,1,1,13,62.8,4.62
2011,1,1,14,33.09,4.71
2011,1,1,15,28.75,5.41
2011,1,1,16,0.0,6.01
2011,1,1,17,0.0,5.85
2011,1,1,18,0.0,5.47
2011,1,1,19,0.0,5.48
2011,1,1,20,0.0,5.51
2011,1,1,21,0.0,5.37
2011,1,1,22,0.0,5.29
2011,1,1,23,0.0,5.12
2011,1,2,0,0.0,4.84
2011,1,2,1,0.0,4.7
2011,1,2,2,0.0,4.6
2011,1,2,3,0.0,4.68
2011,1,2,4,0.0,4.97
2011,1,2,5,0.0,5.38
2011,1,2,6,0.0,5.54
2011,1,2,7,0.0,5.7
2011,1,2,8,15.98,5.71
2011,1,2,9,70.32,5.13
2011,1,2,10,135.84,4.52
2011,1,2,11,186.61,4.28
2011,1,2,12,187.0,4.14
2011,1,2,13,154.24,4.03
2011,1,2,14,99.63,4.25
2011,1,2,15,27.16,5.11
2011,1,2,16,0.0,5.77
2011,1,2,17,0.0,6.07
2011,1,2,18,0.0,6.09
2011,1,2,19,0.0,5.92
2011,1,2,20,0.0,5.63
2011,1,2,21,0.0,5.32
2011,1,2,22,0.0,5.01
2011,1,2,23,0.0,4.73
2011,1,3,0,0.0,4.5
2011,1,3,1,0.0,4.24
2011,1,3,2,0.0,3.97
2011,1,3,3,0.0,3.75
2011,1,3,4,0.0,3.53
2011,1,3,5,0.0,3.28
2011,1,3,6,0.0,3.0
2011,1,3,7,0.0,2.67
2011,1,3,8,15.35,2.3
2011,1,3,9,50.91,1.61
2011,1,3,10,81.01,0.73
2011,1,3,11,126.44,0.52
2011,1,3,12,106.81,1.12
2011,1,3,13,99.74,1.48
2011,1,3,14,80.7,1.77
2011,1,3,15,22.55,2.3
2011,1,3,16,0.0,3.0
2011,1,3,17,0.0,3.8
2011,1,3,18,0.0,4.65
2011,1,3,19,0.0,5.45
2011,1,3,20,0.0,6.19
2011,1,3,21,0.0,6.83
2011,1,3,22,0.0,7.28
2011,1,3,23,0.0,7.41
2011,1,4,0,0.0,7.52
2011,1,4,1,0.0,7.65
2011,1,4,2,0.0,7.93
2011,1,4,3,0.0,7.86
2011,1,4,4,0.0,7.6
2011,1,4,5,0.0,7.11
2011,1,4,6,0.0,6.6
2011,1,4,7,0.0,6.02
2011,1,4,8,12.38,5.57
2011,1,4,9,47.36,5.25
2011,1,4,10,92.35,4.97
2011,1,4,11,130.49,4.8
2011,1,4,12,148.3,4.52
2011,1,4,13,125.86,4.52
2011,1,4,14,81.48,4.69
2011,1,4,15,28.32,5.37
2011,1,4,16,0.0,6.1
2011,1,4,17,0.0,6.85
2011,1,4,18,0.0,7.59
2011,1,4,19,0.0,8.27
2011,1,4,20,0.0,9.08
2011,1,4,21,0.0,9.28
2011,1,4,22,0.0,9.75
2011,1,4,23,0.0,9.78
2011,1,5,0,0.0,9.72
2011,1,5,1,0.0,9.97
2011,1,5,2,0.0,10.63
2011,1,5,3,0.0,10.64
2011,1,5,4,0.0,9.87
2011,1,5,5,0.0,9.76
2011,1,5,6,0.0,10.0
2011,1,5,7,0.0,10.16
2011,1,5,8,16.02,10.27
2011,1,5,9,79.83,10.85
2011,1,5,10,133.45,11.34
2011,1,5,11,137.3,11.86
2011,1,5,12,120.32,11.91
2011,1,5,13,106.41,11.33
2011,1,5,14,62.48,10.54
2011,1,5,15,23.91,9.86
2011,1,5,16,0.0,9.18
2011,1,5,17,0.0,8.83
2011,1,5,18,0.0,8.89
2011,1,5,19,0.0,8.53
2011,1,5,20,0.0,8.16
2011,1,5,21,0.0,7.0
2011,1,5,22,0.0,6.71
2011,1,5,23,0.0,5.94
2011,1,6,0,0.0,5.16
2011,1,6,1,0.0,4.66
2011,1,6,2,0.0,4.19
2011,1,6,3,0.0,3.8
2011,1,6,4,0.0,3.38
2011,1,6,5,0.0,2.74
2011,1,6,6,0.0,1.89
2011,1,6,7,0.0,1.31
2011,1,6,8,10.59,1.78
2011,1,6,9,29.83,2.78
2011,1,6,10,23.52,3.73
2011,1,6,11,33.38,4.69
2011,1,6,12,27.11,5.18
2011,1,6,13,49.23,5.54
2011,1,6,14,29.54,5.87
2011,1,6,15,21.92,5.87
2011,1,6,16,0.0,5.64
2011,1,6,17,0.0,5.0
2011,1,6,18,0.0,4.37
2011,1,6,19,0.0,4.4
2011,1,6,20,0.0,4.3
2011,1,6,21,0.0,3.63
2011,1,6,22,0.0,2.73
2011,1,6,23,0.0,2.37
2011,1,7,0,0.0,3.04
2011,1,7,1,0.0,4.44
2011,1,7,2,0.0,5.36
2011,1,7,3,0.0,6.05
2011,1,7,4,0.0,6.77
2011,1,7,5,0.0,7.45
2011,1,7,6,0.0,7.23
2011,1,7,7,0.0,7.18
2011,1,7,8,12.07,6.6
2011,1,7,9,40.6,6.44
2011,1,7,10,104.53,6.92
2011,1,7,11,101.22,7.32
2011,1,7,12,111.55,7.88
2011,1,7,13,95.7,8.62
2011,1,7,14,65.34,8.79
2011,1,7,15,22.66,9.24
2011,1,7,16,0.0,9.85
2011,1,7,17,0.0,9.76
2011,1,7,18,0.0,9.88
2011,1,7,19,0.0,11.52
2011,1,7,20,0.0,11.78
2011,1,7,21,0.0,10.95
2011,1,7,22,0.0,11.17
2011,1,7,23,0.0,10.67
2011,1,8,0,0.0,10.82
2011,1,8,1,0.0,11.46
2011,1,8,2,0.0,12.67
2011,1,8,3,0.0,14.5
2011,1,8,4,0.0,15.07
2011,1,8,5,0.0,14.22
2011,1,8,6,0.0,14.52
2011,1,8,7,0.0,14.89
2011,1,8,8,14.13,13.98
2011,1,8,9,84.58,12.6
2011,1,8,10,72.11,11.39
2011,1,8,11,69.23,11.15
2011,1,8,12,150.01,10.34
2011,1,8,13,185.75,9.24
2011,1,8,14,145.41,8.17
2011,1,8,15,57.93,7.89
2011,1,8,16,0.0,8.11
2011,1,8,17,0.0,8.01
2011,1,8,18,0.0,7.72
2011,1,8,19,0.0,7.82
2011,1,8,20,0.0,8.15
2011,1,8,21,0.0,8.5
2011,1,8,22,0.0,8.54
2011,1,8,23,0.0,8.53
2011,1,9,0,0.0,8.62
2011,1,9,1,0.0,8.78
2011,1,9,2,0.0,9.22
2011,1,9,3,0.0,9.66
2011,1,9,4,0.0,9.33
2011,1,9,5,0.0,8.57
2011,1,9,6,0.0,8.44
2011,1,9,7,0.0,8.06
2011,1,9,8,21.34,7.95
2011,1,9,9,111.71,7.24
2011,1,9,10,209.84,6.31
2011,1,9,11,270.72,6.23
2011,1,9,12,280.73,7.76
2011,1,9,13,244.64,7.34
2011,1,9,14,166.08,6.52
2011,1,9,15,64.7,6.8
2011,1,9,16,0.0,7.52
2011,1,9,17,0.0,7.73
2011,1,9,18,0.0,7.57
2011,1,9,19,0.0,7.26
2011,1,9,20,0.0,6.78
2011,1,9,21,0.0,6.06
2011,1,9,22,0.0,5.45
2011,1,9,23,0.0,4.83
2011,1,10,0,0.0,4.22
2011,1,10,1,0.0,4.18
2011,1,10,2,0.0,4.71
2011,1,10,3,0.0,5.55
2011,1,10,4,0.0,6.47
2011,1,10,5,0.0,7.23
2011,1,10,6,0.0,8.13
2011,1,10,7,0.0,9.05
2011,1,10,8,13.25,9.6
2011,1,10,9,50.56,9.81
2011,1,10,10,86.63,10.68
2011,1,10,11,128.18,11.18
2011,1,10,12,139.16,11.26
2011,1,10,13,108.7,11.16
2011,1,10,14,77.65,11.23
2011,1,10,15,27.13,11.47
2011,1,10,16,0.0,11.75
2011,1,10,17,0.0,12.34
2011,1,10,18,0.0,13.24
2011,1,10,19,0.0,13.82
2011,1,10,20,0.0,14.17
2011,1,10,21,0.0,14.29
2011,1,10,22,0.0,14.5
2011,1,10,23,0.0,14.18
2011,1,11,0,0.0,13.68
2011,1,11,1,0.0,12.85
2011,1,11,2,0.0,11.42
2011,1,11,3,0.0,10.19
2011,1,11,4,0.0,8.4
2011,1,11,5,0.0,7.64
2011,1,11,6,0.0,7.96
2011,1,11,7,0.0,7.98
2011,1,11,8,16.01,7.88
2011,1,11,9,85.59,8.5
2011,1,11,10,88.59,9.77
2011,1,11,11,139.62,11.01
2011,1,11,12,162.27,11.89
2011,1,11,13,134.51,11.5
2011,1,11,14,90.48,11.25
2011,1,11,15,36.0,10.96
2011,1,11,16,0.0,9.91
2011,1,11,17,0.0,8.95
2011,1,11,18,0.0,7.76
2011,1,11,19,0.0,6.59
2011,1,11,20,0.0,5.08
2011,1,11,21,0.0,4.15
2011,1,11,22,0.0,4.34
2011,1,11,23,0.0,4.93
2011,1,12,0,0.0,6.29
2011,1,12,1,0.0,6.97
2011,1,12,2,0.0,6.69
2011,1,12,3,0.0,7.69
2011,1,12,4,0.0,9.47
2011,1,12,5,0.0,10.99
2011,1,12,6,0.0,12.37
2011,1,12,7,0.0,11.8
2011,1,12,8,12.82,10.05
2011,1,12,9,50.3,10.32
2011,1,12,10,66.48,11.17
2011,1,12,11,72.55,10.34
2011,1,12,12,62.1,10.25
2011,1,12,13,43.38,9.96
2011,1,12,14,40.46,9.62
2011,1,12,15,22.66,9.73
2011,1,12,16,0.0,10.16
2011,1,12,17,0.0,9.83
2011,1,12,18,0.0,10.61
2011,1,12,19,0.0,10.39
2011,1,12,20,0.0,10.86
2011,1,12,21,0.0,11.5
2011,1,12,22,0.0,10.94
2011,1,12,23,0.0,10.22
2011,1,13,0,0.0,10.36
2011,1,13,1,0.0,10.54
2011,1,13,2,0.0,11.39
2011,1,13,3,0.0,11.26
2011,1,13,4,0.0,11.3
2011,1,13,5,0.0,11.14
2011,1,13,6,0.0,11.35
2011,1,13,7,0.0,11.82
2011,1,13,8,15.32,12.01
2011,1,13,9,56.91,12.01
2011,1,13,10,79.23,11.4
2011,1,13,11,95.84,10.92
2011,1,13,12,113.37,10.93
2011,1,13,13,108.77,10.12
2011,1,13,14,46.28,9.48
2011,1,13,15,27.81,8.9
2011,1,13,16,0.0,8.51
2011,1,13,17,0.0,8.26
2011,1,13,18,0.0,8.74
2011,1,13,19,0.0,9.61
2011,1,13,20,0.0,11.21
2011,1,13,21,0.0,11.51
2011,1,13,22,0.0,12.57
2011,1,13,23,0.0,12.88
2011,1,14,0,0.0,12.65
2011,1,14,1,0.0,13.1
2011,1,14,2,0.0,12.67
2011,1,14,3,0.0,12.3
2011,1,14,4,0.0,12.12
2011,1,14,5,0.0,11.78
2011,1,14,6,0.0,11.2
2011,1,14,7,0.0,10.67
2011,1,14,8,14.03,10.17
2011,1,14,9,41.09,9.54
2011,1,14,10,68.51,10.13
2011,1,14,11,56.88,10.93
2011,1,14,12,51.53,11.04
2011,1,14,13,40.45,11.23
2011,1,14,14,37.38,10.99
2011,1,14,15,35.81,10.92
2011,1,14,16,0.0,10.98
2011,1,14,17,0.0,10.36
2011,1,14,18,0.0,9.85
2011,1,14,19,0.0,9.67
2011,1,14,20,0.0,9.71
2011,1,14,21,0.0,9.28
2011,1,14,22,0.0,8.95
2011,1,14,23,0.0,7.94
2011,1,15,0,0.0,7.45
2011,1,15,1,0.0,7.78
2011,1,15,2,0.0,8.73
2011,1,15,3,0.0,9.83
2011,1,15,4,0.0,10.69
2011,1,15,5,0.0,11.71
2011,1,15,6,0.0,13.1
2011,1,15,7,0.0,13.92
2011,1,15,8,15.91,14.39
2011,1,15,9,43.09,14.42
2011,1,15,10,42.55,14.41
2011,1,15,11,64.58,14.89
2011,1,15,12,73.34,14.89
2011,1,15,13,78.94,14.7
2011,1,15,14,51.62,14.66
2011,1,15,15,30.1,14.53
2011,1,15,16,0.0,14.26
2011,1,15,17,0.0,14.04
2011,1,15,18,0.0,14.04
2011,1,15,19,0.0,13.87
2011,1,15,20,0.0,13.63
2011,1,15,21,0.0,13.59
2011,1,15,22,0.0,13.9
2011,1,15,23,0.0,14.13
2011,1,16,0,0.0,14.22
2011,1,16,1,0.0,14.3
2011,1,16,2,0.0,14.25
2011,1,16,3,0.0,13.9
2011,1,16,4,0.0,13.64
2011,1,16,5,0.0,13.37
2011,1,16,6,0.0,13.59
2011,1,16,7,0.0,13.55
2011,1,16,8,19.76,13.54
2011,1,16,9,58.54,13.53
2011,1,16,10,62.64,13.13
2011,1,16,11,115.11,13.26
2011,1,16,12,85.8,13.36
2011,1,16,13,76.77,13.19
2011,1,16,14,71.73,12.38
2011,1,16,15,31.58,12.05
2011,1,16,16,0.0,11.38
2011,1,16,17,0.0,10.94
2011,1,16,18,0.0,10.86
2011,1,16,19,0.0,11.23
2011,1,16,20,0.0,9.86
2011,1,16,21,0.0,9.09
2011,1,16,22,0.0,8.21
2011,1,16,23,0.0,7.67
2011,1,17,0,0.0,6.83
2011,1,17,1,0.0,6.15
2011,1,17,2,0.0,5.28
2011,1,17,3,0.0,4.2
2011,1,17,4,0.0,2.78
2011,1,17,5,0.0,1.7
2011,1,17,6,0.0,2.56
2011,1,17,7,0.0,3.48
2011,1,17,8,14.02,3.81
2011,1,17,9,29.66,3.83
2011,1,17,10,29.04,3.39
2011,1,17,11,120.48,3.12
2011,1,17,12,117.9,2.12
2011,1,17,13,81.1,2.11
2011,1,17,14,60.97,3.45
2011,1,17,15,35.94,4.32
2011,1,17,16,0.0,4.48
2011,1,17,17,0.0,4.19
2011,1,17,18,0.0,3.44
2011,1,17,19,0.0,2.77
2011,1,17,20,0.0,3.13
2011,1,17,21,0.0,3.72
2011,1,17,22,0.0,4.26
2011,1,17,23,0.0,4.71
2011,1,18,0,0.0,5.0
2011,1,18,1,0.0,5.41
2011,1,18,2,0.0,5.73
2011,1,18,3,0.0,6.69
2011,1,18,4,0.0,8.22
2011,1,18,5,0.0,8.12
2011,1,18,6,0.0,6.99
2011,1,18,7,0.0,6.02
2011,1,18,8,28.87,6.25
2011,1,18,9,128.53,6.87
2011,1,18,10,221.84,6.61
2011,1,18,11,261.59,6.31
2011,1,18,12,277.08,6.33
2011,1,18,13,256.91,6.31
2011,1,18,14,187.54,6.13
2011,1,18,15,84.31,6.11
2011,1,18,16,8.88,6.41
2011,1,18,17,0.0,6.41
2011,1,18,18,0.0,6.06
2011,1,18,19,0.0,5.87
2011,1,18,20,0.0,6.16
2011,1,18,21,0.0,6.36
2011,1,18,22,0.0,6.51
2011,1,18,23,0.0,6.82
2011,1,19,0,0.0,6.92
2011,1,19,1,0.0,6.57
2011,1,19,2,0.0,6.05
2011,1,19,3,0.0,5.28
2011,1,19,4,0.0,4.65
2011,1,19,5,0.0,4.27
2011,1,19,6,0.0,4.3
2011,1,19,7,0.0,4.42
2011,1,19,8,29.98,4.59
2011,1,19,9,126.77,4.81
2011,1,19,10,213.95,4.92
2011,1,19,11,265.47,5.12
2011,1,19,12,276.8,5.47
2011,1,19,13,242.18,5.78
2011,1,19,14,188.95,5.83
2011,1,19,15,83.58,6.08
2011,1,19,16,8.4,7.03
2011,1,19,17,0.0,7.37
2011,1,19,18,0.0,7.29
2011,1,19,19,0.0,7.19
2011,1,19,20,0.0,6.9
2011,1,19,21,0.0,6.47
2011,1,19,22,0.0,5.94
2011,1,19,23,0.0,5.66
2011,1,20,0,0.0,5.5
2011,1,20,1,0.0,5.53
2011,1,20,2,0.0,5.73
2011,1,20,3,0.0,5.94
2011,1,20,4,0.0,6.01
2011,1,20,5,0.0,6.59
2011,1,20,6,0.0,6.78
2011,1,20,7,0.0,6.71
2011,1,20,8,31.61,6.62
2011,1,20,9,98.09,6.4
2011,1,20,10,164.39,5.99
2011,1,20,11,193.8,5.76
2011,1,20,12,197.99,5.96
2011,1,20,13,169.22,5.94
2011,1,20,14,127.93,5.53
2011,1,20,15,60.27,5.69
2011,1,20,16,8.13,6.2
2011,1,20,17,0.0,6.27
2011,1,20,18,0.0,6.19
2011,1,20,19,0.0,6.15
2011,1,20,20,0.0,6.0
2011,1,20,21,0.0,5.64
2011,1,20,22,0.0,5.28
2011,1,20,23,0.0,5.03
2011,1,21,0,0.0,4.79
2011,1,21,1,0.0,4.56
2011,1,21,2,0.0,4.44
2011,1,21,3,0.0,4.67
2011,1,21,4,0.0,5.08
2011,1,21,5,0.0,5.39
2011,1,21,6,0.0,5.58
2011,1,21,7,0.0,5.61
2011,1,21,8,29.07,5.39
2011,1,21,9,99.31,5.01
2011,1,21,10,176.76,4.92
2011,1,21,11,240.24,4.51
2011,1,21,12,271.37,4.31
2011,1,21,13,240.6,4.26
2011,1,21,14,189.95,4.49
2011,1,21,15,90.5,5.21
2011,1,21,16,9.58,6.49
2011,1,21,17,0.0,7.28
2011,1,21,18,0.0,7.55
2011,1,21,19,0.0,7.46
2011,1,21,20,0.0,7.01
2011,1,21,21,0.0,6.15
2011,1,21,22,0.0,5.45
2011,1,21,23,0.0,5.14
2011,1,22,0,0.0,5.1
2011,1,22,1,0.0,5.31
2011,1,22,2,0.0,5.51
2011,1,22,3,0.0,5.41
2011,1,22,4,0.0,5.39
2011,1,22,5,0.0,5.66
2011,1,22,6,0.0,5.92
2011,1,22,7,0.0,6.42
2011,1,22,8,30.59,7.21
2011,1,22,9,68.52,7.61
2011,1,22,10,115.2,7.48
2011,1,22,11,128.81,7.76
2011,1,22,12,153.96,8.09
2011,1,22,13,122.85,8.69
2011,1,22,14,99.0,8.95
2011,1,22,15,38.8,9.27
2011,1,22,16,9.08,9.71
2011,1,22,17,0.0,10.17
2011,1,22,18,0.0,10.53
2011,1,22,19,0.0,10.43
2011,1,22,20,0.0,9.8
2011,1,22,21,0.0,9.43
2011,1,22,22,0.0,9.0
2011,1,22,23,0.0,8.62
2011,1,23,0,0.0,8.38
2011,1,23,1,0.0,8.3
2011,1,23,2,0.0,8.74
2011,1,23,3,0.0,8.68
2011,1,23,4,0.0,8.41
2011,1,23,5,0.0,8.11
2011,1,23,6,0.0,7.83
2011,1,23,7,0.0,7.56
2011,1,23,8,26.31,7.42
2011,1,23,9,72.59,7.4
2011,1,23,10,107.04,7.51
2011,1,23,11,144.18,7.82
2011,1,23,12,94.84,8.43
2011,1,23,13,81.8,8.66
2011,1,23,14,67.34,8.85
2011,1,23,15,29.36,9.38
2011,1,23,16,9.98,9.68
2011,1,23,17,0.0,9.79
2011,1,23,18,0.0,9.83
2011,1,23,19,0.0,9.56
2011,1,23,20,0.0,9.33
2011,1,23,21,0.0,8.49
2011,1,23,22,0.0,8.63
2011,1,23,23,0.0,7.81
2011,1,24,0,0.0,7.81
2011,1,24,1,0.0,8.25
2011,1,24,2,0.0,8.17
2011,1,24,3,0.0,7.92
2011,1,24,4,0.0,7.98
2011,1,24,5,0.0,7.7
2011,1,24,6,0.0,7.42
2011,1,24,7,0.0,6.9
2011,1,24,8,27.1,6.2
2011,1,24,9,77.04,5.76
2011,1,24,10,127.92,5.27
2011,1,24,11,158.33,5.49
2011,1,24,12,172.82,5.95
2011,1,24,13,132.07,6.48
2011,1,24,14,94.7,6.67
2011,1,24,15,41.98,6.64
2011,1,24,16,11.51,7.22
2011,1,24,17,0.0,7.64
2011,1,24,18,0.0,7.64
2011,1,24,19,0.0,7.61
2011,1,24,20,0.0,7.63
2011,1,24,21,0.0,7.36
2011,1,24,22,0.0,7.25
2011,1,24,23,0.0,7.09
2011,1,25,0,0.0,7.3
2011,1,25,1,0.0,7.76
2011,1,25,2,0.0,7.94
2011,1,25,3,0.0,8.04
2011,1,25,4,0.0,8.18
2011,1,25,5,0.0,8.08
2011,1,25,6,0.0,7.74
2011,1,25,7,0.0,7.68
2011,1,25,8,31.13,7.54
2011,1,25,9,96.5,7.57
2011,1,25,10,133.36,7.88
2011,1,25,11,164.98,7.85
2011,1,25,12,132.54,7.48
2011,1,25,13,107.43,7.37
2011,1,25,14,88.36,7.21
2011,1,25,15,45.3,7.07
2011,1,25,16,9.8,7.12
2011,1,25,17,0.0,6.93
2011,1,25,18,0.0,6.44
2011,1,25,19,0.0,5.8
2011,1,25,20,0.0,5.45
2011,1,25,21,0.0,5.15
2011,1,25,22,0.0,4.94
2011,1,25,23,0.0,4.8
2011,1,26,0,0.0,4.66
2011,1,26,1,0.0,4.74
2011,1,26,2,0.0,5.04
2011,1,26,3,0.0,5.42
2011,1,26,4,0.0,5.56
