-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  54.9809   Longitude -7.1742 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,7.58
2011,1,1,1,0.0,7.78
2011,1,1,2,0.0,7.96
2011,1,1,3,0.0,8.08
2011,1,1,4,0.0,8.04
2011,1,1,5,0.0,7.75
2011,1,1,6,0.0,7.57
2011,1,1,7,0.0,8.07
2011,1,1,8,0.0,8.21
2011,1,1,9,33.59,7.91
2011,1,1,10,97.51,7.24
2011,1,1,11,128.66,6.69
2011,1,1,12,133.57,6.41
2011,1,1,13,110.87,6.41
2011,1,1,14,75.6,6.57
2011,1,1,15,39.2,6.79
2011,1,1,16,0.0,6.8
2011,1,1,17,0.0,6.68
2011,1,1,18,0.0,6.47
2011,1,1,19,0.0,6.18
2011,1,1,20,0.0,5.84
2011,1,1,21,0.0,5.49
2011,1,1,22,0.0,5.2
2011,1,1,23,0.0,4.93
2011,1,2,0,0.0,4.58
2011,1,2,1,0.0,4.22
2011,1,2,2,0.0,3.87
2011,1,2,3,0.0,3.59
2011,1,2,4,0.0,3.45
2011,1,2,5,0.0,3.46
2011,1,2,6,0.0,3.62
2011,1,2,7,0.0,3.82
2011,1,2,8,0.0,3.92
2011,1,2,9,33.6,3.71
2011,1,2,10,44.48,3.31
2011,1,2,11,62.66,2.7
2011,1,2,12,92.51,2.08
2011,1,2,13,52.84,1.59
2011,1,2,14,36.98,1.33
2011,1,2,15,23.44,1.28
2011,1,2,16,0.0,1.36
2011,1,2,17,0.0,1.53
2011,1,2,18,0.0,1.67
2011,1,2,19,0.0,1.75
2011,1,2,20,0.0,2.05
2011,1,2,21,0.0,2.59
2011,1,2,22,0.0,3.2
2011,1,2,23,0.0,3.82
2011,1,3,0,0.0,4.29
2011,1,3,1,0.0,4.66
2011,1,3,2,0.0,4.95
2011,1,3,3,0.0,5.29
2011,1,3,4,0.0,5.7
2011,1,3,5,0.0,6.08
2011,1,3,6,0.0,6.4
2011,1,3,7,0.0,6.72
2011,1,3,8,0.0,7.07
2011,1,3,9,31.13,7.32
2011,1,3,10,89.73,7.6
2011,1,3,11,142.27,7.91
2011,1,3,12,162.24,8.32
2011,1,3,13,134.23,8.86
2011,1,3,14,86.05,9.51
2011,1,3,15,30.96,9.74
2011,1,3,16,0.0,10.1
2011,1,3,17,0.0,10.33
2011,1,3,18,0.0,10.64
2011,1,3,19,0.0,11.13
2011,1,3,20,0.0,11.76
2011,1,3,21,0.0,12.0
2011,1,3,22,0.0,12.01
2011,1,3,23,0.0,11.88
2011,1,4,0,0.0,11.77
2011,1,4,1,0.0,11.5
2011,1,4,2,0.0,12.27
2011,1,4,3,0.0,12.37
2011,1,4,4,0.0,12.07
2011,1,4,5,0.0,12.41
2011,1,4,6,0.0,12.42
2011,1,4,7,0.0,12.52
2011,1,4,8,0.0,11.94
2011,1,4,9,20.97,11.87
2011,1,4,10,42.31,11.63
2011,1,4,11,64.5,11.18
2011,1,4,12,77.2,10.99
2011,1,4,13,91.38,11.57
2011,1,4,14,50.04,11.26
2011,1,4,15,21.12,11.1
2011,1,4,16,0.0,10.99
2011,1,4,17,0.0,10.55
2011,1,4,18,0.0,9.74
2011,1,4,19,0.0,9.39
2011,1,4,20,0.0,9.59
2011,1,4,21,0.0,9.84
2011,1,4,22,0.0,9.7
2011,1,4,23,0.0,9.94
2011,1,5,0,0.0,9.86
2011,1,5,1,0.0,10.08
2011,1,5,2,0.0,10.33
2011,1,5,3,0.0,10.38
2011,1,5,4,0.0,10.27
2011,1,5,5,0.0,10.52
2011,1,5,6,0.0,11.68
2011,1,5,7,0.0,11.98
2011,1,5,8,0.0,11.82
2011,1,5,9,27.73,11.38
2011,1,5,10,80.34,10.47
2011,1,5,11,127.74,9.49
2011,1,5,12,133.78,9.24
2011,1,5,13,133.94,9.3
2011,1,5,14,83.72,9.79
2011,1,5,15,49.02,10.29
2011,1,5,16,0.0,10.9
2011,1,5,17,0.0,10.2
2011,1,5,18,0.0,9.12
2011,1,5,19,0.0,8.05
2011,1,5,20,0.0,7.37
2011,1,5,21,0.0,7.34
2011,1,5,22,0.0,7.6
2011,1,5,23,0.0,7.79
2011,1,6,0,0.0,8.12
2011,1,6,1,0.0,8.9
2011,1,6,2,0.0,9.57
2011,1,6,3,0.0,9.72
2011,1,6,4,0.0,10.18
2011,1,6,5,0.0,10.76
2011,1,6,6,0.0,11.11
2011,1,6,7,0.0,11.3
2011,1,6,8,0.0,10.96
2011,1,6,9,37.73,10.92
2011,1,6,10,100.96,10.59
2011,1,6,11,167.12,10.6
2011,1,6,12,203.67,10.4
2011,1,6,13,184.77,9.83
2011,1,6,14,131.63,9.39
2011,1,6,15,59.59,9.19
2011,1,6,16,0.0,8.77
2011,1,6,17,0.0,8.29
2011,1,6,18,0.0,7.61
2011,1,6,19,0.0,6.49
2011,1,6,20,0.0,5.26
2011,1,6,21,0.0,4.23
2011,1,6,22,0.0,3.5
2011,1,6,23,0.0,2.88
2011,1,7,0,0.0,2.17
2011,1,7,1,0.0,1.29
2011,1,7,2,0.0,0.45
2011,1,7,3,0.0,1.41
2011,1,7,4,0.0,2.64
2011,1,7,5,0.0,3.61
2011,1,7,6,0.0,4.19
2011,1,7,7,0.0,4.57
2011,1,7,8,0.0,4.79
2011,1,7,9,34.51,4.81
2011,1,7,10,78.12,4.62
2011,1,7,11,138.89,4.35
2011,1,7,12,167.31,4.1
2011,1,7,13,145.13,4.13
2011,1,7,14,81.38,4.58
2011,1,7,15,35.43,5.09
2011,1,7,16,0.0,5.17
2011,1,7,17,0.0,5.03
2011,1,7,18,0.0,4.93
2011,1,7,19,0.0,5.0
2011,1,7,20,0.0,5.13
2011,1,7,21,0.0,5.36
2011,1,7,22,0.0,5.53
2011,1,7,23,0.0,5.65
2011,1,8,0,0.0,5.9
2011,1,8,1,0.0,6.13
2011,1,8,2,0.0,6.52
2011,1,8,3,0.0,7.07
2011,1,8,4,0.0,7.81
2011,1,8,5,0.0,8.35
2011,1,8,6,0.0,8.45
2011,1,8,7,0.0,8.47
2011,1,8,8,0.0,8.54
2011,1,8,9,33.55,8.46
2011,1,8,10,115.66,8.26
2011,1,8,11,131.38,8.74
2011,1,8,12,110.38,9.85
2011,1,8,13,106.67,10.25
2011,1,8,14,71.79,9.91
2011,1,8,15,42.3,9.34
2011,1,8,16,0.0,9.55
2011,1,8,17,0.0,9.01
2011,1,8,18,0.0,9.25
2011,1,8,19,0.0,12.25
2011,1,8,20,0.0,13.01
2011,1,8,21,0.0,12.42
2011,1,8,22,0.0,12.2
2011,1,8,23,0.0,12.35
2011,1,9,0,0.0,12.69
2011,1,9,1,0.0,12.71
2011,1,9,2,0.0,13.61
2011,1,9,3,0.0,14.42
2011,1,9,4,0.0,14.51
2011,1,9,5,0.0,13.93
2011,1,9,6,0.0,12.88
2011,1,9,7,0.0,12.07
2011,1,9,8,0.0,11.17
2011,1,9,9,34.38,10.16
2011,1,9,10,110.67,9.03
2011,1,9,11,180.96,7.8
2011,1,9,12,165.52,6.85
2011,1,9,13,154.58,6.48
2011,1,9,14,104.05,6.75
2011,1,9,15,39.52,7.58
2011,1,9,16,0.0,8.63
2011,1,9,17,0.0,9.01
2011,1,9,18,0.0,8.94
2011,1,9,19,0.0,9.7
2011,1,9,20,0.0,10.01
2011,1,9,21,0.0,9.93
2011,1,9,22,0.0,10.15
2011,1,9,23,0.0,10.35
2011,1,10,0,0.0,9.91
2011,1,10,1,0.0,9.64
2011,1,10,2,0.0,9.24
2011,1,10,3,0.0,8.73
2011,1,10,4,0.0,7.99
2011,1,10,5,0.0,7.21
2011,1,10,6,0.0,6.25
2011,1,10,7,0.0,5.26
2011,1,10,8,0.0,4.53
2011,1,10,9,31.18,4.31
2011,1,10,10,55.35,4.16
2011,1,10,11,63.59,4.04
2011,1,10,12,97.66,4.14
2011,1,10,13,26.05,4.42
2011,1,10,14,17.14,4.74
2011,1,10,15,18.47,5.16
2011,1,10,16,0.0,6.27
2011,1,10,17,0.0,7.34
2011,1,10,18,0.0,8.0
2011,1,10,19,0.0,8.24
2011,1,10,20,0.0,8.35
2011,1,10,21,0.0,9.07
2011,1,10,22,0.0,9.84
2011,1,10,23,0.0,10.33
2011,1,11,0,0.0,10.87
2011,1,11,1,0.0,11.13
2011,1,11,2,0.0,11.74
2011,1,11,3,0.0,11.8
2011,1,11,4,0.0,11.45
2011,1,11,5,0.0,11.12
2011,1,11,6,0.0,10.61
2011,1,11,7,0.0,9.94
2011,1,11,8,0.0,9.15
2011,1,11,9,48.86,8.11
2011,1,11,10,114.59,6.44
2011,1,11,11,185.23,4.53
2011,1,11,12,214.69,3.21
2011,1,11,13,163.48,2.47
2011,1,11,14,53.92,2.57
2011,1,11,15,25.27,2.74
2011,1,11,16,0.0,3.75
2011,1,11,17,0.0,5.28
2011,1,11,18,0.0,7.06
2011,1,11,19,0.0,8.59
2011,1,11,20,0.0,8.99
2011,1,11,21,0.0,8.86
2011,1,11,22,0.0,10.46
2011,1,11,23,0.0,12.49
2011,1,12,0,0.0,13.6
2011,1,12,1,0.0,11.87
2011,1,12,2,0.0,9.55
2011,1,12,3,0.0,9.72
2011,1,12,4,0.0,10.96
2011,1,12,5,0.0,10.43
2011,1,12,6,0.0,9.96
2011,1,12,7,0.0,9.76
2011,1,12,8,0.0,10.17
2011,1,12,9,25.48,10.16
2011,1,12,10,60.78,9.27
2011,1,12,11,91.55,8.67
2011,1,12,12,112.27,8.24
2011,1,12,13,112.94,7.31
2011,1,12,14,63.82,7.07
2011,1,12,15,32.96,7.2
2011,1,12,16,0.0,7.11
2011,1,12,17,0.0,7.06
2011,1,12,18,0.0,6.71
2011,1,12,19,0.0,6.07
2011,1,12,20,0.0,5.92
2011,1,12,21,0.0,6.72
2011,1,12,22,0.0,7.34
2011,1,12,23,0.0,7.62
2011,1,13,0,0.0,7.86
2011,1,13,1,0.0,8.5
2011,1,13,2,0.0,9.66
2011,1,13,3,0.0,9.99
2011,1,13,4,0.0,10.9
2011,1,13,5,0.0,10.67
2011,1,13,6,0.0,10.54
2011,1,13,7,0.0,10.6
2011,1,13,8,0.0,10.19
2011,1,13,9,29.6,9.46
2011,1,13,10,59.78,8.83
2011,1,13,11,103.95,8.75
2011,1,13,12,111.02,8.56
2011,1,13,13,93.45,8.47
2011,1,13,14,62.6,8.46
2011,1,13,15,27.99,8.68
2011,1,13,16,0.0,8.69
2011,1,13,17,0.0,8.46
2011,1,13,18,0.0,8.1
2011,1,13,19,0.0,8.14
2011,1,13,20,0.0,8.2
2011,1,13,21,0.0,8.49
2011,1,13,22,0.0,8.9
2011,1,13,23,0.0,9.07
2011,1,14,0,0.0,8.79
2011,1,14,1,0.0,9.49
2011,1,14,2,0.0,10.31
2011,1,14,3,0.0,10.5
2011,1,14,4,0.0,10.38
2011,1,14,5,0.0,10.41
2011,1,14,6,0.0,10.59
2011,1,14,7,0.0,10.8
2011,1,14,8,0.0,10.75
2011,1,14,9,35.58,11.06
2011,1,14,10,90.62,11.65
2011,1,14,11,125.92,12.17
2011,1,14,12,145.8,12.66
2011,1,14,13,159.54,13.24
2011,1,14,14,128.3,13.52
2011,1,14,15,59.83,13.14
2011,1,14,16,9.05,12.34
2011,1,14,17,0.0,11.83
2011,1,14,18,0.0,10.49
2011,1,14,19,0.0,9.22
2011,1,14,20,0.0,9.53
2011,1,14,21,0.0,10.1
2011,1,14,22,0.0,10.77
2011,1,14,23,0.0,12.1
2011,1,15,0,0.0,14.85
2011,1,15,1,0.0,16.96
2011,1,15,2,0.0,18.48
2011,1,15,3,0.0,18.4
2011,1,15,4,0.0,18.56
2011,1,15,5,0.0,17.58
2011,1,15,6,0.0,16.65
2011,1,15,7,0.0,16.29
2011,1,15,8,0.0,16.5
2011,1,15,9,22.17,16.7
2011,1,15,10,13.09,16.69
2011,1,15,11,58.77,16.84
2011,1,15,12,43.04,16.58
2011,1,15,13,44.44,16.67
2011,1,15,14,42.51,16.46
2011,1,15,15,24.91,15.87
2011,1,15,16,6.01,15.56
2011,1,15,17,0.0,15.03
2011,1,15,18,0.0,14.23
2011,1,15,19,0.0,13.36
2011,1,15,20,0.0,12.46
2011,1,15,21,0.0,11.79
2011,1,15,22,0.0,12.06
2011,1,15,23,0.0,13.16
2011,1,16,0,0.0,13.43
2011,1,16,1,0.0,13.09
2011,1,16,2,0.0,13.22
2011,1,16,3,0.0,13.95
2011,1,16,4,0.0,14.32
2011,1,16,5,0.0,14.47
2011,1,16,6,0.0,15.69
2011,1,16,7,0.0,16.4
2011,1,16,8,0.0,15.75
2011,1,16,9,38.19,14.28
2011,1,16,10,96.51,13.04
2011,1,16,11,153.52,12.92
2011,1,16,12,202.26,13.09
2011,1,16,13,183.92,13.29
2011,1,16,14,138.18,13.28
2011,1,16,15,75.24,13.2
2011,1,16,16,9.9,13.25
2011,1,16,17,0.0,13.53
2011,1,16,18,0.0,13.99
2011,1,16,19,0.0,14.54
2011,1,16,20,0.0,14.72
2011,1,16,21,0.0,14.38
2011,1,16,22,0.0,13.51
2011,1,16,23,0.0,12.07
2011,1,17,0,0.0,11.05
2011,1,17,1,0.0,9.97
2011,1,17,2,0.0,9.11
2011,1,17,3,0.0,8.58
2011,1,17,4,0.0,8.03
2011,1,17,5,0.0,7.65
2011,1,17,6,0.0,7.18
2011,1,17,7,0.0,6.87
2011,1,17,8,0.0,7.08
2011,1,17,9,56.56,7.01
2011,1,17,10,135.24,6.68
2011,1,17,11,203.27,6.25
2011,1,17,12,227.27,6.0
2011,1,17,13,217.5,5.78
2011,1,17,14,166.11,5.84
2011,1,17,15,82.59,6.22
2011,1,17,16,11.06,6.8
2011,1,17,17,0.0,7.04
2011,1,17,18,0.0,7.05
2011,1,17,19,0.0,7.23
2011,1,17,20,0.0,7.58
2011,1,17,21,0.0,7.79
