-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  52.5   Longitude -1.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2021,1,1,0,-1.31
2021,1,1,1,-1.69
2021,1,1,2,-1.79
2021,1,1,3,-1.73
2021,1,1,4,-1.35
2021,1,1,5,-0.85
2021,1,1,6,-0.24
2021,1,1,7,0.41
2021,1,1,8,1.15
2021,1,1,9,1.91
2021,1,1,10,2.46
2021,1,1,11,2.91
2021,1,1,12,3.27
2021,1,1,13,3.58
2021,1,1,14,3.69
2021,1,1,15,3.58
2021,1,1,16,3.38
2021,1,1,17,3.15
2021,1,1,18,2.77
2021,1,1,19,2.23
2021,1,1,20,1.68
2021,1,1,21,1.19
2021,1,1,22,0.82
2021,1,1,23,0.27
2021,1,2,0,-0.12
2021,1,2,1,-0.39
2021,1,2,2,-0.68
2021,1,2,3,-0.98
2021,1,2,4,-1.13
2021,1,2,5,-1.45
2021,1,2,6,-1.78
2021,1,2,7,-1.98
2021,1,2,8,-1.99
2021,1,2,9,-1.23
2021,1,2,10,-0.23
2021,1,2,11,0.8
2021,1,2,12,1.64
2021,1,2,13,1.92
2021,1,2,14,1.62
2021,1,2,15,0.39
2021,1,2,16,-0.16
2021,1,2,17,-0.17
2021,1,2,18,-0.17
2021,1,2,19,0.01
2021,1,2,20,0.28
2021,1,2,21,0.43
2021,1,2,22,0.68
2021,1,2,23,0.85
2021,1,3,0,0.96
2021,1,3,1,0.94
2021,1,3,2,0.95
2021,1,3,3,1.03
2021,1,3,4,1.23
2021,1,3,5,1.37
2021,1,3,6,1.58
2021,1,3,7,1.68
2021,1,3,8,1.73
2021,1,3,9,2.17
2021,1,3,10,2.79
2021,1,3,11,3.39
2021,1,3,12,3.72
2021,1,3,13,3.76
2021,1,3,14,3.6
2021,1,3,15,3.19
2021,1,3,16,2.71
2021,1,3,17,2.33
2021,1,3,18,2.06
2021,1,3,19,1.82
2021,1,3,20,1.73
2021,1,3,21,1.65
2021,1,3,22,1.6
2021,1,3,23,1.33
2021,1,4,0,1.04
2021,1,4,1,0.82
2021,1,4,2,0.73
2021,1,4,3,0.55
2021,1,4,4,0.31
2021,1,4,5,0.33
2021,1,4,6,0.81
2021,1,4,7,1.3
2021,1,4,8,1.55
2021,1,4,9,1.94
2021,1,4,10,2.71
2021,1,4,11,3.54
2021,1,4,12,3.91
2021,1,4,13,3.76
2021,1,4,14,3.28
2021,1,4,15,2.56
2021,1,4,16,1.85
2021,1,4,17,1.41
2021,1,4,18,1.03
2021,1,4,19,0.5
2021,1,4,20,0.21
2021,1,4,21,0.19
2021,1,4,22,0.1
2021,1,4,23,-0.17
2021,1,5,0,-0.38
2021,1,5,1,-0.37
2021,1,5,2,-0.13
2021,1,5,3,-0.04
2021,1,5,4,-0.42
2021,1,5,5,-0.92
2021,1,5,6,-0.9
2021,1,5,7,-0.77
2021,1,5,8,-0.6
2021,1,5,9,0.01
2021,1,5,10,1.05
2021,1,5,11,2.09
2021,1,5,12,2.98
2021,1,5,13,3.4
2021,1,5,14,3.05
2021,1,5,15,1.94
2021,1,5,16,1.02
2021,1,5,17,0.57
2021,1,5,18,0.26
2021,1,5,19,0.14
2021,1,5,20,0.3
2021,1,5,21,0.31
2021,1,5,22,0.14
2021,1,5,23,-0.02
2021,1,6,0,-0.2
2021,1,6,1,-0.35
2021,1,6,2,-0.6
2021,1,6,3,-0.63
2021,1,6,4,-0.68
2021,1,6,5,-0.58
2021,1,6,6,-0.67
2021,1,6,7,-0.79
2021,1,6,8,-0.82
2021,1,6,9,0.46
2021,1,6,10,1.73
2021,1,6,11,2.67
2021,1,6,12,3.39
2021,1,6,13,3.57
2021,1,6,14,2.87
2021,1,6,15,0.64
2021,1,6,16,-0.65
2021,1,6,17,-0.67
2021,1,6,18,-0.76
2021,1,6,19,-0.87
2021,1,6,20,-0.82
2021,1,6,21,-1.1
2021,1,6,22,-1.31
2021,1,6,23,-1.45
2021,1,7,0,-1.65
2021,1,7,1,-1.85
2021,1,7,2,-2.02
2021,1,7,3,-2.19
2021,1,7,4,-2.32
2021,1,7,5,-2.44
2021,1,7,6,-2.47
2021,1,7,7,-2.54
2021,1,7,8,-2.43
2021,1,7,9,-1.89
2021,1,7,10,-1.17
2021,1,7,11,-0.6
2021,1,7,12,-0.23
2021,1,7,13,-0.12
2021,1,7,14,-0.24
2021,1,7,15,-0.84
2021,1,7,16,-1.31
2021,1,7,17,-1.32
2021,1,7,18,-1.36
2021,1,7,19,-1.21
2021,1,7,20,-1.02
2021,1,7,21,-0.92
2021,1,7,22,-0.74
2021,1,7,23,-0.74
2021,1,8,0,-0.77
2021,1,8,1,-0.86
2021,1,8,2,-0.95
2021,1,8,3,-0.81
2021,1,8,4,-0.74
2021,1,8,5,-0.7
2021,1,8,6,-0.69
2021,1,8,7,-0.59
2021,1,8,8,-0.36
2021,1,8,9,0.35
2021,1,8,10,0.96
2021,1,8,11,1.5
2021,1,8,12,1.85
2021,1,8,13,1.93
2021,1,8,14,1.62
2021,1,8,15,0.27
2021,1,8,16,-0.63
2021,1,8,17,-0.95
2021,1,8,18,-1.32
2021,1,8,19,-1.35
2021,1,8,20,-1.32
2021,1,8,21,-1.32
2021,1,8,22,-1.22
2021,1,8,23,-0.99
2021,1,9,0,-0.85
2021,1,9,1,-0.9
2021,1,9,2,-1.07
2021,1,9,3,-1.29
2021,1,9,4,-1.48
2021,1,9,5,-1.63
2021,1,9,6,-1.69
2021,1,9,7,-1.74
2021,1,9,8,-1.7
2021,1,9,9,-0.66
2021,1,9,10,0.23
2021,1,9,11,1.21
2021,1,9,12,2.29
2021,1,9,13,2.51
2021,1,9,14,1.49
2021,1,9,15,-0.92
2021,1,9,16,-2.17
2021,1,9,17,-2.13
2021,1,9,18,-1.91
2021,1,9,19,-1.6
2021,1,9,20,-1.44
2021,1,9,21,-1.49
2021,1,9,22,-1.57
2021,1,9,23,-1.91
2021,1,10,0,-2.24
2021,1,10,1,-2.4
2021,1,10,2,-2.27
2021,1,10,3,-1.97
2021,1,10,4,-1.74
2021,1,10,5,-1.46
2021,1,10,6,-0.93
2021,1,10,7,-0.56
2021,1,10,8,-0.09
2021,1,10,9,0.84
2021,1,10,10,1.55
2021,1,10,11,2.05
2021,1,10,12,2.43
2021,1,10,13,2.61
2021,1,10,14,2.47
2021,1,10,15,1.93
2021,1,10,16,1.53
2021,1,10,17,1.61
2021,1,10,18,1.7
2021,1,10,19,1.66
2021,1,10,20,1.69
2021,1,10,21,1.79
2021,1,10,22,1.94
2021,1,10,23,2.12
2021,1,11,0,2.37
2021,1,11,1,2.69
2021,1,11,2,2.93
2021,1,11,3,2.94
2021,1,11,4,2.94
2021,1,11,5,2.93
2021,1,11,6,3.13
2021,1,11,7,3.3
2021,1,11,8,3.51
2021,1,11,9,3.89
2021,1,11,10,4.4
2021,1,11,11,4.95
2021,1,11,12,5.49
2021,1,11,13,5.89
2021,1,11,14,6.11
2021,1,11,15,6.31
2021,1,11,16,6.43
2021,1,11,17,6.62
2021,1,11,18,6.83
2021,1,11,19,7.08
2021,1,11,20,7.43
2021,1,11,21,7.75
2021,1,11,22,7.91
2021,1,11,23,8.08
2021,1,12,0,8.28
2021,1,12,1,8.29
2021,1,12,2,8.08
2021,1,12,3,7.72
2021,1,12,4,7.23
2021,1,12,5,6.41
2021,1,12,6,5.45
2021,1,12,7,4.51
2021,1,12,8,3.27
2021,1,12,9,3.12
2021,1,12,10,3.55
2021,1,12,11,4.34
2021,1,12,12,4.75
2021,1,12,13,4.68
2021,1,12,14,3.94
2021,1,12,15,1.27
2021,1,12,16,-0.74
2021,1,12,17,-1.28
2021,1,12,18,-1.72
2021,1,12,19,-1.94
2021,1,12,20,-1.85
2021,1,12,21,-1.26
2021,1,12,22,-1.03
2021,1,12,23,-1.19
2021,1,13,0,-1.64
2021,1,13,1,-1.71
2021,1,13,2,-1.53
2021,1,13,3,-1.38
2021,1,13,4,-1.08
2021,1,13,5,-0.41
2021,1,13,6,0.1
2021,1,13,7,0.45
2021,1,13,8,0.84
2021,1,13,9,1.6
2021,1,13,10,2.4
2021,1,13,11,3.29
2021,1,13,12,3.94
2021,1,13,13,4.37
2021,1,13,14,4.55
2021,1,13,15,4.48
2021,1,13,16,4.55
2021,1,13,17,4.74
2021,1,13,18,4.91
2021,1,13,19,4.95
2021,1,13,20,4.99
2021,1,13,21,4.95
2021,1,13,22,4.66
2021,1,13,23,4.47
2021,1,14,0,4.45
2021,1,14,1,4.49
2021,1,14,2,4.55
2021,1,14,3,4.41
2021,1,14,4,4.16
2021,1,14,5,3.98
2021,1,14,6,3.6
2021,1,14,7,3.15
2021,1,14,8,2.82
2021,1,14,9,2.71
2021,1,14,10,2.35
2021,1,14,11,1.91
2021,1,14,12,1.62
2021,1,14,13,1.28
2021,1,14,14,0.96
2021,1,14,15,0.69
2021,1,14,16,0.49
2021,1,14,17,0.35
2021,1,14,18,0.02
2021,1,14,19,-0.27
2021,1,14,20,-0.51
2021,1,14,21,-0.73
2021,1,14,22,-1.17
2021,1,14,23,-1.5
2021,1,15,0,-1.74
2021,1,15,1,-1.88
